SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
VOLTAMP,EQ, 19-Feb-2021,1181.6,1185.0,1196.0,1163.35,1173.9,1168.05,1183.8,31172,369.02,3765,15565,49.93,184,20210219
MAN50ETF,EQ, 19-Feb-2021,154.49,159.12,159.12,152.42,153.38,152.79,153.19,125310,191.97,119,120618,96.26,184,20210219
HGS,EQ, 19-Feb-2021,1199.95,1199.9,1219.4,1175.0,1203.95,1202.4,1200.13,30328,363.98,3122,15275,50.37,183,20210219
SARDAEN,EQ, 19-Feb-2021,364.8,364.95,367.0,355.1,362.1,362.15,361.62,114301,413.33,4316,50881,44.51,183,20210219
GOACARBON,EQ, 19-Feb-2021,329.05,329.9,350.0,322.6,333.7,332.55,340.12,164497,559.48,9160,53670,32.63,182,20210219
HIL,EQ, 19-Feb-2021,3090.75,3062.2,3088.0,3025.0,3048.0,3035.2,3053.48,7853,239.79,2009,5968,76.0,182,20210219
NESCO,EQ, 19-Feb-2021,603.35,603.35,611.0,595.55,600.0,599.75,603.09,58508,352.85,2434,30235,51.68,182,20210219
CARERATING,EQ, 19-Feb-2021,488.5,493.95,497.8,483.65,489.05,488.35,490.64,86781,425.78,3084,36947,42.57,181,20210219
CENTRUM,EQ, 19-Feb-2021,23.85,23.9,24.1,23.35,23.95,23.8,23.76,5308499,1261.25,4142,762894,14.37,181,20210219
PNBGILTS,EQ, 19-Feb-2021,53.4,53.5,54.0,51.2,52.4,52.05,52.67,704666,371.13,4164,344691,48.92,181,20210219
LAOPALA,EQ, 19-Feb-2021,218.5,218.0,225.6,217.35,221.9,220.85,221.65,181888,403.15,4666,81776,44.96,181,20210219
GILLETTE,EQ, 19-Feb-2021,5609.4,5609.4,5630.0,5572.0,5585.4,5582.4,5593.74,4876,272.75,1250,3223,66.1,180,20210219
ICICIB22,EQ, 19-Feb-2021,37.9,37.9,38.0,37.05,37.3,37.17,37.57,829708,311.71,4427,479146,57.75,180,20210219
SHANTIGEAR,EQ, 19-Feb-2021,124.45,126.45,129.5,125.05,126.2,126.2,127.52,232496,296.47,3032,140457,60.41,179,20210219
IGPL,EQ, 19-Feb-2021,439.8,442.9,448.4,425.45,434.0,432.3,438.53,62755,275.2,2763,41039,65.4,179,20210219
SFL,EQ, 19-Feb-2021,2033.9,2040.0,2109.75,2014.25,2060.0,2066.35,2068.18,13447,278.11,1926,8618,64.09,178,20210219
GOLDIAM,EQ, 19-Feb-2021,323.9,325.45,335.0,301.5,315.0,310.75,317.43,106876,339.25,5357,55695,52.11,176,20210219
TIRUMALCHM,EQ, 19-Feb-2021,96.75,97.4,97.75,92.65,94.5,94.1,95.47,410878,392.27,3572,183863,44.75,175,20210219
FCL,EQ, 19-Feb-2021,74.1,72.55,74.7,69.3,71.35,71.2,72.1,402743,290.37,2781,241540,59.97,174,20210219
ESTER,EQ, 19-Feb-2021,102.6,102.6,103.3,99.0,101.3,100.25,100.53,267327,268.75,4522,173454,64.88,174,20210219
MAHEPC,EQ, 19-Feb-2021,153.5,153.05,155.4,148.0,149.5,149.0,150.44,216593,325.84,3414,115060,53.12,173,20210219
IFCI,EQ, 19-Feb-2021,9.25,9.3,9.4,8.9,9.0,9.0,9.17,4341587,398.18,55735,1878188,43.26,172,20210219
SOBHA,EQ, 19-Feb-2021,461.5,462.55,464.6,448.0,454.0,454.0,455.59,74617,339.95,2758,37753,50.6,171,20210219
THOMASCOOK,EQ, 19-Feb-2021,47.35,47.9,48.7,46.8,47.45,47.55,47.8,744601,355.91,5880,355732,47.77,170,20210219
MAHLIFE,EQ, 19-Feb-2021,486.1,489.95,495.25,475.0,485.0,485.0,482.69,61311,295.94,3092,35222,57.45,170,20210219
ACRYSIL,EQ, 19-Feb-2021,286.95,293.0,301.25,278.8,301.25,301.25,298.73,116516,348.07,2345,56695,48.66,169,20210219
RUPA,EQ, 19-Feb-2021,322.1,323.0,327.5,310.25,314.6,313.85,319.5,133452,426.38,5231,52515,39.35,167,20210219
NEWGEN,EQ, 19-Feb-2021,277.35,276.2,293.3,274.5,292.2,290.3,288.57,118913,343.15,4817,57990,48.77,167,20210219
KIRLOSENG,EQ, 19-Feb-2021,165.5,166.0,166.6,158.1,161.5,160.1,162.55,224092,364.25,4305,102223,45.62,166,20210219
FORCEMOT,EQ, 19-Feb-2021,1351.4,1342.05,1364.95,1330.25,1341.0,1338.4,1345.76,29650,399.02,2363,12176,41.07,163,20210219
MATRIMONY,EQ, 19-Feb-2021,863.65,863.0,863.0,814.0,824.5,824.9,831.17,33928,282.0,4032,19640,57.89,163,20210219
GEPIL,EQ, 19-Feb-2021,274.7,277.95,286.8,274.65,280.4,279.7,281.26,127016,357.24,3072,58282,45.89,163,20210219
BAJAJHIND,EQ, 19-Feb-2021,6.55,6.65,6.75,6.45,6.6,6.55,6.63,4876699,323.43,3314,2447939,50.2,162,20210219
LIKHITHA,EQ, 19-Feb-2021,280.15,279.0,283.6,265.1,274.0,274.6,276.82,117736,325.91,3558,58792,49.94,162,20210219
SECURKLOUD,EQ, 19-Feb-2021,84.6,85.0,88.8,80.4,81.0,80.5,81.91,237061,194.18,1491,198471,83.72,162,20210219
SETFNIF50,EQ, 19-Feb-2021,157.17,157.35,157.38,155.01,156.5,155.88,156.19,118704,185.4,1690,103569,87.25,161,20210219
USHAMART,EQ, 19-Feb-2021,30.0,29.7,30.15,29.35,29.9,29.6,29.83,755795,225.43,1587,541855,71.69,161,20210219
SRIPIPES,EQ, 19-Feb-2021,170.1,170.0,170.8,169.0,170.5,170.25,169.8,123529,209.76,1401,94437,76.45,160,20210219
SWARAJENG,EQ, 19-Feb-2021,1323.75,1325.0,1350.0,1310.1,1321.0,1321.6,1330.75,20327,270.5,1593,12075,59.4,160,20210219
AKZOINDIA,EQ, 19-Feb-2021,2142.3,2142.0,2194.25,2136.0,2137.0,2146.55,2163.79,16822,363.99,2332,7353,43.71,159,20210219
PANACEABIO,EQ, 19-Feb-2021,203.85,203.65,205.85,198.0,199.0,199.2,201.0,139187,279.76,2906,79241,56.93,159,20210219
GLOBUSSPR,EQ, 19-Feb-2021,369.1,367.0,380.95,365.0,367.8,366.2,371.81,127844,475.33,4326,42519,33.26,158,20210219
GODFRYPHLP,EQ, 19-Feb-2021,922.6,925.0,927.0,910.0,914.4,913.8,918.76,32703,300.46,2704,17232,52.69,158,20210219
SUNFLAG,EQ, 19-Feb-2021,64.25,64.0,65.6,63.25,64.0,64.15,64.27,670060,430.62,9046,247051,36.87,158,20210219
VIKASMCORP,EQ, 19-Feb-2021,3.4,3.4,3.4,3.25,3.3,3.25,3.28,8373511,275.04,7155,4825714,57.63,158,20210219
INDBANK,EQ, 19-Feb-2021,17.15,18.15,18.6,15.45,15.45,15.45,17.04,2014513,343.27,5582,922944,45.81,157,20210219
LAXMIMACH,EQ, 19-Feb-2021,6097.3,6124.5,6124.5,5900.0,6024.0,5944.55,6009.52,4534,272.47,1550,2614,57.65,157,20210219
INGERRAND,EQ, 19-Feb-2021,767.9,763.5,785.5,736.0,740.0,748.2,760.28,38912,295.84,2564,20688,53.17,157,20210219
TWL,EQ, 19-Feb-2021,51.45,51.55,51.75,48.9,49.95,49.95,50.57,551187,278.72,3874,309730,56.19,156,20210219
MANINDS,EQ, 19-Feb-2021,73.6,73.6,74.8,71.1,72.25,71.95,72.9,453473,330.58,4008,213359,47.05,155,20210219
QUICKHEAL,EQ, 19-Feb-2021,154.2,154.1,159.7,153.25,154.55,154.9,156.47,349148,546.31,9269,99539,28.51,155,20210219
VARROC,EQ, 19-Feb-2021,410.0,411.95,412.1,399.0,407.0,407.0,405.27,77358,313.51,4029,38337,49.56,155,20210219
SYMPHONY,EQ, 19-Feb-2021,1048.85,1060.0,1064.95,1040.0,1047.0,1045.0,1051.72,28934,304.3,2828,14733,50.92,154,20210219
UFO,EQ, 19-Feb-2021,83.0,84.9,87.6,83.2,83.7,84.2,85.36,493459,421.23,5125,181236,36.73,154,20210219
