SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
INFY,EQ, 19-Apr-2021,1353.75,1340.0,1379.7,1332.35,1363.0,1362.55,1359.57,12508028,170055.47,260647,5617272,44.91,76370
HDFCBANK,EQ, 19-Apr-2021,1428.65,1390.0,1417.7,1372.3,1412.6,1412.4,1393.68,12034621,167723.59,325777,5446700,45.26,75909
RELIANCE,EQ, 19-Apr-2021,1932.1,1904.0,1916.4,1890.0,1903.05,1901.7,1902.57,8527967,162250.6,271570,3886582,45.57,73944
ICICIBANK,EQ, 19-Apr-2021,566.95,550.0,562.3,534.4,560.4,559.75,547.46,28526176,156168.32,301440,13059152,45.78,71493
BAJFINANCE,EQ, 19-Apr-2021,4616.6,4450.0,4504.0,4362.0,4478.8,4479.6,4435.76,3426507,151991.61,251715,1107890,32.33,49143
HDFC,EQ, 19-Apr-2021,2574.05,2474.0,2510.0,2452.0,2501.05,2492.35,2484.26,3550890,88213.43,150346,1875490,52.82,46592
TCS,EQ, 19-Apr-2021,3195.15,3169.0,3189.0,3135.1,3159.15,3161.8,3164.13,2679106,84770.31,126444,1340909,50.05,42428
SBIN,EQ, 19-Apr-2021,339.9,327.15,332.05,321.3,330.45,331.15,326.36,53304377,173963.46,396759,11353181,21.3,37052
AXISBANK,EQ, 19-Apr-2021,669.2,650.0,655.3,631.0,648.0,648.15,638.98,17292072,110492.63,296870,5725586,33.11,36585
KOTAKBANK,EQ, 19-Apr-2021,1764.1,1720.0,1720.0,1675.0,1702.0,1700.75,1694.07,3865423,65482.88,154039,2045696,52.92,34655
LT,EQ, 19-Apr-2021,1359.15,1340.0,1346.2,1306.0,1312.5,1310.45,1326.27,4157065,55134.08,146317,2439476,58.68,32354
WIPRO,EQ, 19-Apr-2021,469.2,463.0,477.95,461.1,471.5,472.75,470.56,43809855,206151.38,369723,6830051,15.59,32139
CIPLA,EQ, 19-Apr-2021,938.05,945.25,955.0,924.0,950.0,946.3,945.66,17805574,168379.3,315326,3365829,18.9,31829
LODHA,EQ, 19-Apr-2021,486.0,436.0,478.0,422.6,457.95,465.25,464.16,11051365,51296.54,189323,6643235,60.11,30835
BAJAJFINSV,EQ, 19-Apr-2021,9824.75,9505.5,9654.0,9392.6,9485.0,9469.9,9501.23,697435,66264.88,117451,283236,40.61,26910
APOLLOHOSP,EQ, 19-Apr-2021,3061.0,3038.0,3243.15,3005.65,3157.9,3157.4,3171.0,3552506,112649.93,169682,822245,23.15,26073
ADANIPORTS,EQ, 19-Apr-2021,755.5,715.0,730.9,707.45,719.0,720.95,721.84,22935238,165555.24,290362,3547157,15.47,25604
