SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
BAJFINANCE,EQ, 29-Apr-2021,5280.9,5350.0,5525.0,5330.0, 5475.00,5484.85,5440.24,7258486,394879.42,392154,1537401,21.18,83638
HDFCBANK,EQ, 29-Apr-2021,1476.8,1486.2,1503.65,1461.0, 1471.65,1472.5,1481.15,12039276,178319.6,252296,4818551,40.02,71369
ICICIBANK,EQ, 29-Apr-2021,621.35,622.55,628.45,609.0, 621.00,621.45,619.55,34537860,213979.16,304029,10324897,29.89,63967
RELIANCE,EQ, 29-Apr-2021,1997.3,2022.9,2044.5,2007.3, 2020.00,2024.05,2024.21,8035915,162663.39,213153,2834103,35.27,57368
TATASTEEL,EQ, 29-Apr-2021,971.4,983.0,1036.95,983.0, 1035.00,1031.35,1015.76,44718647,454235.91,554647,5539528,12.39,56268
AXISBANK,EQ, 29-Apr-2021,708.15,712.0,726.9,707.0, 717.10,719.4,717.41,25939327,186091.96,312079,7357520,28.36,52783
INFY,EQ, 29-Apr-2021,1356.0,1368.0,1369.0,1351.4, 1356.00,1356.35,1360.05,5412357,73610.9,119277,3130945,57.85,42582
HDFC,EQ, 29-Apr-2021,2577.0,2590.9,2628.0,2533.0, 2539.70,2538.85,2569.65,3005468,77229.95,132826,1472924,49.01,37848
HCLTECH,EQ, 29-Apr-2021,923.8,929.7,929.7,907.1, 910.30,909.55,914.34,8588734,78529.88,363122,4041614,47.06,36954
SBIN,EQ, 29-Apr-2021,363.4,365.0,369.95,355.5, 357.45,359.4,361.26,63692926,230094.57,348461,10008961,15.71,36158
JSWSTEEL,EQ, 29-Apr-2021,662.65,672.0,728.9,668.05, 726.20,726.5,704.4,56816962,400217.34,531808,5065568,8.92,35681
SAIL,EQ, 29-Apr-2021,103.5,105.0,113.5,104.75, 112.50,112.5,108.6,144435081,156851.98,294322,31561386,21.85,34275
KOTAKBANK,EQ, 29-Apr-2021,1811.45,1825.1,1845.45,1780.55, 1802.60,1805.0,1811.62,3960095,71741.86,148490,1482157,37.43,26851
TCS,EQ, 29-Apr-2021,3124.1,3145.6,3157.35,3105.5, 3114.45,3115.25,3130.83,1621395,50763.06,98275,837567,51.66,26222
HINDALCO,EQ, 29-Apr-2021,362.6,367.4,377.3,364.6, 370.50,372.15,370.7,34391622,127489.79,237157,6771282,19.69,25101
MARUTI,EQ, 29-Apr-2021,6573.8,6635.0,6647.45,6552.0, 6562.00,6565.65,6580.77,757075,49821.35,64393,352987,46.63,23229
