SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
INFY,EQ, 12-Apr-2021,1441.05,1474.0,1477.55,1415.0, 1431.50,1425.75,1438.59,20384532,293250.13,477964,8931478,43.81,128487
RELIANCE,EQ, 12-Apr-2021,1982.05,1959.0,1961.4,1900.25, 1915.65,1911.15,1922.99,9646031,185492.13,330605,4432542,45.95,85237
HDFCBANK,EQ, 12-Apr-2021,1421.75,1393.0,1399.0,1353.0, 1375.20,1367.05,1374.47,11274564,154965.91,406501,5626304,49.9,77331
ICICIBANK,EQ, 12-Apr-2021,566.2,551.4,551.95,531.15, 540.90,538.55,540.9,26601702,143889.44,391762,13125799,49.34,70997
SBIN,EQ, 12-Apr-2021,353.0,344.0,344.0,322.55, 330.70,328.85,329.89,75501713,249073.19,579319,20168862,26.71,66535
TATAMOTORS,EQ, 12-Apr-2021,318.2,307.85,307.85,282.9, 287.50,286.55,292.83,105342538,308472.56,687082,20366565,19.33,59639
HDFC,EQ, 12-Apr-2021,2513.9,2450.0,2454.45,2405.0, 2426.00,2419.85,2425.22,3772771,91498.11,216533,2422529,64.21,58751
BAJFINANCE,EQ, 12-Apr-2021,4872.3,4740.0,4740.0,4400.0, 4519.00,4511.0,4535.1,4500046,204081.68,334289,1261611,28.04,57215
DRREDDY,EQ, 12-Apr-2021,4760.3,4775.0,5120.0,4695.0, 5098.00,4996.95,4906.69,3513765,172409.54,230750,980590,27.91,48114
TCS,EQ, 12-Apr-2021,3322.25,3322.25,3338.1,3213.2, 3250.00,3246.55,3275.21,3791828,124190.18,202522,1329121,35.05,43531
TECHM,EQ, 12-Apr-2021,1053.0,1051.0,1059.05,1016.8, 1039.85,1039.85,1035.38,7896295,81756.36,138618,4083369,51.71,42278
HINDUNILVR,EQ, 12-Apr-2021,2476.0,2441.5,2488.25,2437.6, 2460.00,2462.0,2453.26,2261945,55491.48,92405,1433992,63.4,35179
ITC,EQ, 12-Apr-2021,213.1,210.0,211.0,205.0, 205.30,205.3,207.32,34511670,71550.36,256517,16599695,48.1,34414
MARUTI,EQ, 12-Apr-2021,6827.1,6739.85,6739.85,6502.15, 6533.00,6520.6,6565.82,1020746,67020.32,134956,505862,49.56,33213
CIPLA,EQ, 12-Apr-2021,883.05,890.0,940.0,879.15, 907.00,902.4,913.81,30141861,275440.17,516625,3403805,11.29,31104
KOTAKBANK,EQ, 12-Apr-2021,1799.25,1757.25,1768.0,1723.3, 1740.00,1742.5,1739.06,3328336,57881.87,151093,1773550,53.29,30843
AXISBANK,EQ, 12-Apr-2021,668.2,651.0,655.0,626.65, 639.70,635.6,637.11,14649541,93333.81,270517,4782573,32.65,30470
HCLTECH,EQ, 12-Apr-2021,1045.4,1042.95,1042.95,1001.2, 1012.95,1009.4,1015.97,5976427,60718.96,141109,2890337,48.36,29364
TATASTEEL,EQ, 12-Apr-2021,899.5,876.55,893.2,843.35, 855.85,851.55,868.35,22135504,192212.66,302778,3289066,14.86,28560
SAIL,EQ, 12-Apr-2021,94.35,91.9,91.95,83.45, 85.15,84.7,87.36,97082396,84810.32,218769,31042606,31.98,27118
TATAPOWER,EQ, 12-Apr-2021,104.1,101.0,101.0,89.9, 92.70,92.2,94.34,125893617,118767.77,443035,28259775,22.45,26660
DIVISLAB,EQ, 12-Apr-2021,3752.35,3760.0,3898.0,3675.2, 3795.00,3779.65,3824.38,1959252,74929.34,119911,671496,34.27,25680
LT,EQ, 12-Apr-2021,1404.1,1393.95,1393.95,1332.0, 1354.00,1345.15,1349.57,3755497,50683.19,143556,1823677,48.56,24611
BRITANNIA,EQ, 12-Apr-2021,3797.7,3777.95,3850.0,3750.0, 3814.00,3812.75,3805.58,1108910,42200.47,63705,584883,52.74,22258
SRTRANSFIN,EQ, 12-Apr-2021,1469.6,1410.0,1415.9,1292.95, 1302.00,1300.9,1332.68,4857960,64740.92,119499,1587866,32.69,21161
BHARTIARTL,EQ, 12-Apr-2021,545.25,537.55,538.85,518.5, 523.50,522.45,526.6,9687846,51015.97,131068,3848839,39.73,20267
ADANIPORTS,EQ, 12-Apr-2021,823.6,809.9,809.9,735.0, 750.00,744.65,762.16,28112240,214260.98,422020,2654132,9.44,20228
INDUSINDBK,EQ, 12-Apr-2021,923.65,884.0,890.0,841.0, 844.50,844.4,852.61,10674765,91014.13,272488,2275042,21.31,19397
BAJAJFINSV,EQ, 12-Apr-2021,9629.05,9419.95,9459.8,9035.85, 9175.00,9163.15,9212.67,566836,52220.75,82499,203405,35.88,18739
IRCTC,EQ, 12-Apr-2021,1730.9,1680.2,1697.7,1573.45, 1589.00,1582.0,1616.04,2807259,45366.32,175471,1143369,40.73,18477
SHREECEM,EQ, 12-Apr-2021,31748.75,31200.0,31497.4,29757.85, 30198.60,29881.05,30337.24,114698,34796.2,33755,59931,52.25,18181
HINDALCO,EQ, 12-Apr-2021,361.05,352.1,354.0,331.6, 339.10,336.2,342.66,16096812,55156.75,122937,5250243,32.62,17990
RBLBANK,EQ, 12-Apr-2021,211.05,205.0,205.8,183.0, 189.35,188.65,189.58,41805861,79254.21,242022,9083336,21.73,17220
ADANIENT,EQ, 12-Apr-2021,1201.4,1177.4,1177.4,1061.4, 1068.00,1074.4,1104.57,13690016,151215.32,290601,1558726,11.39,17217
WIPRO,EQ, 12-Apr-2021,450.1,450.0,450.1,429.4, 435.00,432.6,435.75,15086267,65738.24,193573,3877022,25.7,16894
SUNPHARMA,EQ, 12-Apr-2021,636.75,639.0,645.85,615.2, 622.45,619.35,632.57,15229597,96338.24,242947,2642692,17.35,16716
BANKBARODA,EQ, 12-Apr-2021,74.0,72.0,72.0,63.25, 66.90,66.1,67.32,77084143,51895.5,197595,23592405,30.61,15882
STAR,EQ, 12-Apr-2021,862.8,849.0,891.9,814.05, 878.10,872.4,856.42,2669805,22864.84,37886,1784523,66.84,15283
HDFCLIFE,EQ, 12-Apr-2021,694.85,685.0,690.0,679.6, 689.00,687.3,685.02,3457470,23684.26,71824,2203111,63.72,15091
IDFCFIRSTB,EQ, 12-Apr-2021,55.8,53.0,53.9,47.5, 50.80,50.55,50.91,86053992,43809.93,196130,29481672,34.26,15009
ZEEL,EQ, 12-Apr-2021,206.05,201.2,201.25,176.1, 184.15,181.1,186.64,24875466,46428.19,157611,7997249,32.15,14926
LIQUIDBEES,EQ, 12-Apr-2021,999.99,1000.87,1000.87,999.98, 1000.49,1000.0,1000.0,1837272,18372.79,7808,1444931,78.65,14449
ATGL,EQ, 12-Apr-2021,1092.55,1070.0,1070.0,984.1, 990.25,990.25,1006.05,3008046,30262.31,93533,1431891,47.6,14405
AMBUJACEM,EQ, 12-Apr-2021,316.35,310.9,312.2,299.55, 305.95,304.3,307.44,10520709,32344.46,93394,4497131,42.75,13825
LICHSGFIN,EQ, 12-Apr-2021,415.7,408.0,409.85,377.75, 384.95,383.15,387.56,7149229,27707.9,99783,3520927,49.25,13645
