SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFC,EQ, 03-Apr-2020,1583.5,1575.5,1578.8,1482.25, 1499.75,1499.55,1512.61,10149442,153521.54,342735,6541237,64.45,98943
ICICIBANK,EQ, 03-Apr-2020,311.15,309.5,309.5,281.5, 288.00,286.65,291.84,57330285,167312.87,531869,25041960,43.68,73082
HDFCBANK,EQ, 03-Apr-2020,829.65,843.0,844.0,810.0, 811.00,813.85,825.26,17499063,144413.18,392455,8690196,49.66,71716
RELIANCE,EQ, 03-Apr-2020,1080.45,1134.45,1134.45,1056.3, 1088.00,1077.45,1077.52,18912044,203780.95,519365,6471589,34.22,69732
AXISBANK,EQ, 03-Apr-2020,358.65,360.2,362.3,324.0, 326.90,325.45,343.1,41317685,141761.8,407312,16705260,40.43,57315
ITC,EQ, 03-Apr-2020,166.4,167.9,182.75,167.0, 177.50,177.9,175.12,62868085,110092.82,354482,31070588,49.42,54410
KOTAKBANK,EQ, 03-Apr-2020,1181.65,1181.65,1183.0,1087.0, 1158.20,1140.85,1118.6,10111593,113107.91,397346,4187251,41.41,46838
TCS,EQ, 03-Apr-2020,1708.75,1740.0,1740.0,1650.0, 1659.00,1654.2,1688.3,5735529,96833.17,244588,2453808,42.78,41427
SBIN,EQ, 03-Apr-2020,186.55,187.55,188.2,175.0, 176.00,175.5,178.56,64455937,115091.45,589657,22742948,35.28,40609
HINDUNILVR,EQ, 03-Apr-2020,2179.65,2234.0,2254.1,2127.95, 2153.00,2154.1,2183.12,4121462,89976.33,217202,1569735,38.09,34269
BAJFINANCE,EQ, 03-Apr-2020,2219.35,2268.8,2343.7,2183.05, 2211.00,2207.5,2262.83,6172683,139677.28,417221,1422699,23.05,32193
BHARTIARTL,EQ, 03-Apr-2020,421.35,432.0,432.0,415.6, 424.10,423.95,423.52,14153710,59944.09,232505,7174853,50.69,30386
SUNPHARMA,EQ, 03-Apr-2020,343.55,343.95,389.8,340.0, 376.45,375.95,369.67,28550650,105542.31,338973,8027405,28.12,29674
