SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
WIPRO,EQ, 16-Apr-2021,430.7,441.7,473.65,436.0,469.45,469.2,464.06,109361636,507500.32,793471,20785895,19.01,96459
RELIANCE,EQ, 16-Apr-2021,1944.3,1936.6,1949.9,1926.45,1929.0,1932.1,1935.23,7225679,139833.64,206958,3583568,49.59,69350
INFY,EQ, 16-Apr-2021,1360.75,1365.0,1370.85,1346.6,1348.1,1353.75,1358.97,10879878,147853.93,285474,5019567,46.14,68214
ICICIBANK,EQ, 16-Apr-2021,575.2,574.6,577.75,564.1,565.05,566.95,569.62,24045008,136966.12,259366,10755676,44.73,61266
HDFCBANK,EQ, 16-Apr-2021,1430.1,1434.95,1445.0,1423.5,1430.9,1428.65,1436.06,7803263,112059.43,188460,3843600,49.26,55196
HDFC,EQ, 16-Apr-2021,2547.15,2550.0,2589.8,2546.85,2569.0,2574.05,2572.39,3133311,80600.93,126445,1827639,58.33,47014
CIPLA,EQ, 16-Apr-2021,914.2,919.75,944.25,910.9,940.1,938.05,929.61,13746268,127786.81,221996,5019694,36.52,46663
TCS,EQ, 16-Apr-2021,3218.95,3229.0,3247.0,3182.6,3186.1,3195.15,3209.11,3224657,103482.88,123918,1401641,43.47,44980
KOTAKBANK,EQ, 16-Apr-2021,1773.25,1774.0,1788.15,1760.05,1763.2,1764.1,1771.93,2912279,51603.44,125051,1927232,66.18,34149
AXISBANK,EQ, 16-Apr-2021,668.85,668.65,675.25,662.35,667.8,669.2,668.26,12242522,81812.24,166076,4969774,40.59,33211
LT,EQ, 16-Apr-2021,1374.65,1360.5,1393.3,1355.3,1357.5,1359.15,1373.11,3752588,51527.19,106004,2327307,62.02,31956
BAJFINANCE,EQ, 16-Apr-2021,4660.3,4661.0,4690.0,4590.0,4599.0,4616.6,4644.03,2142648,99505.28,148104,621923,29.03,28882
SBIN,EQ, 16-Apr-2021,342.7,343.0,345.5,338.65,339.55,339.9,342.01,37766793,129165.61,237384,8246382,21.84,28203
TATAMOTORS,EQ, 16-Apr-2021,303.5,302.0,315.0,300.15,308.75,310.0,310.71,75330709,234060.78,408104,8967594,11.9,27863
ADANIPORTS,EQ, 16-Apr-2021,750.35,750.9,794.85,743.0,749.15,755.5,770.01,41791181,321794.4,499686,3455564,8.27,26608
TATASTEEL,EQ, 16-Apr-2021,898.2,903.8,914.4,886.25,887.25,890.25,901.15,17398598,156788.27,217303,2786663,16.02,25112
ASIANPAINT,EQ, 16-Apr-2021,2587.7,2587.6,2693.5,2581.7,2654.0,2663.7,2661.98,2760777,73491.46,126733,932921,33.79,24834
MARUTI,EQ, 16-Apr-2021,6644.25,6675.0,6784.85,6606.05,6633.0,6648.1,6680.14,1000325,66823.14,81274,342948,34.28,22909
HINDALCO,EQ, 16-Apr-2021,353.55,356.75,376.5,352.7,368.25,370.0,369.59,28438547,105107.28,214882,5922215,20.82,21887
HCLTECH,EQ, 16-Apr-2021,991.9,1000.0,1016.8,994.5,1016.0,1012.75,1009.97,4677808,47244.45,80815,2120186,45.32,21413
CADILAHC,EQ, 16-Apr-2021,504.7,507.95,530.0,500.35,525.65,527.1,520.58,15428933,80320.7,169929,3956437,25.64,20596
M&M,EQ, 16-Apr-2021,805.1,805.1,837.85,803.2,819.8,821.65,826.52,6915568,57158.52,163099,2231752,32.27,18445
SUNPHARMA,EQ, 16-Apr-2021,633.25,633.25,650.0,626.35,645.0,646.05,640.54,9804095,62798.78,131623,2755396,28.1,17649
SBICARD,EQ, 16-Apr-2021,905.55,915.8,981.4,915.0,966.0,973.7,960.32,5938047,57024.19,177014,1816067,30.58,17440
ATGL,EQ, 16-Apr-2021,1113.55,1145.8,1167.0,1120.0,1122.75,1134.7,1148.19,2545154,29223.16,63793,1445708,56.8,16599
HINDUNILVR,EQ, 16-Apr-2021,2460.65,2469.9,2478.95,2440.0,2453.95,2458.9,2458.55,1225517,30130.01,56380,664692,54.24,16341
BHARTIARTL,EQ, 16-Apr-2021,539.35,540.05,544.15,538.0,539.0,540.75,541.28,6157781,33330.66,68143,2882361,46.81,15601
AUROPHARMA,EQ, 16-Apr-2021,915.25,916.1,959.0,910.5,951.0,953.0,937.91,4381580,41095.44,83268,1593789,36.37,14948
ADANIENT,EQ, 16-Apr-2021,1129.95,1130.0,1192.0,1112.0,1156.4,1159.0,1163.18,10661068,124007.3,196992,1265227,11.87,14716
ULTRACEMCO,EQ, 16-Apr-2021,6539.3,6510.0,6786.45,6510.0,6704.0,6715.2,6711.46,636917,42746.42,54229,202250,31.75,13573
