SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
TCS,EQ, 13-Apr-2021,3246.55,3214.0,3214.0,3073.05, 3120.00,3104.05,3116.13,8654596,269688.84,436638,3104217,35.87,96731
RELIANCE,EQ, 13-Apr-2021,1911.15,1924.0,1940.6,1917.85, 1932.30,1931.8,1931.39,8958261,173018.9,206237,4960483,55.37,95806
INFY,EQ, 13-Apr-2021,1425.75,1433.0,1435.25,1375.0, 1402.85,1397.15,1394.92,14855206,207218.14,453578,6428451,43.27,89671
HDFCBANK,EQ, 13-Apr-2021,1367.05,1368.0,1406.45,1361.0, 1401.00,1400.35,1383.23,9300341,128645.36,189809,4769084,51.28,65967
ADANIPORTS,EQ, 13-Apr-2021,744.65,750.0,755.75,701.35, 733.10,731.05,723.89,52812517,382303.12,655274,8937704,16.92,64699
ICICIBANK,EQ, 13-Apr-2021,538.55,541.0,563.8,537.85, 559.60,560.6,554.46,25445897,141086.6,298088,11063465,43.48,61342
HDFC,EQ, 13-Apr-2021,2419.85,2422.4,2523.1,2412.25, 2522.00,2512.95,2468.59,3832030,94597.25,196531,2452351,64.0,60538
SBIN,EQ, 13-Apr-2021,328.85,332.0,342.25,330.5, 341.25,341.0,336.4,49773360,167438.66,319183,10870967,21.84,36569
HCLTECH,EQ, 13-Apr-2021,1009.4,1012.5,1020.8,972.2, 988.30,983.4,991.02,7773994,77042.19,191456,3429972,44.12,33991
DRREDDY,EQ, 13-Apr-2021,4996.95,5144.7,5144.7,4751.1, 4799.45,4777.3,4881.45,3937234,192193.95,249793,682609,17.34,33321
KOTAKBANK,EQ, 13-Apr-2021,1742.5,1745.8,1786.05,1723.45, 1777.00,1775.85,1753.75,3118742,54694.8,119311,1590289,50.99,27889
M&M,EQ, 13-Apr-2021,751.5,754.0,817.0,750.8, 810.00,811.25,794.88,12501628,99373.47,226756,3226959,25.81,25650
HINDUNILVR,EQ, 13-Apr-2021,2462.0,2470.0,2505.9,2448.8, 2467.00,2454.4,2468.56,1811781,44724.86,109529,1009633,55.73,24923
TECHM,EQ, 13-Apr-2021,1039.85,1045.0,1050.25,983.0, 1005.00,1001.85,1002.91,6448995,64677.68,120182,2401702,37.24,24086
BAJFINANCE,EQ, 13-Apr-2021,4511.0,4535.1,4774.9,4514.05, 4730.00,4728.75,4660.26,3175019,147964.1,204148,516743,16.28,24081
AXISBANK,EQ, 13-Apr-2021,635.6,635.6,664.85,630.0, 660.00,661.0,651.67,12737650,83007.66,163562,3669536,28.81,23913
CHOLAFIN,EQ, 13-Apr-2021,510.85,512.0,543.9,507.2, 534.00,532.45,533.86,12185363,65053.2,112387,4420630,36.28,23599
TATAMOTORS,EQ, 13-Apr-2021,286.55,287.25,304.55,280.55, 302.00,302.85,293.11,116874853,342566.51,571436,8020613,6.86,23509
WIPRO,EQ, 13-Apr-2021,432.6,432.0,437.55,412.6, 421.75,418.95,420.89,20420320,85947.11,186965,5109038,25.02,21503
BAJAJFINSV,EQ, 13-Apr-2021,9163.15,9200.0,9847.5,9190.05, 9766.00,9806.7,9587.77,830915,79666.25,100243,200600,24.14,19233
MARUTI,EQ, 13-Apr-2021,6520.6,6520.0,6845.4,6468.8, 6825.00,6815.8,6733.61,995718,67047.76,107496,283343,28.46,19079
TATASTEEL,EQ, 13-Apr-2021,851.55,862.0,881.6,849.0, 878.95,879.0,868.07,20428502,177332.72,246512,2169612,10.62,18833
ULTRACEMCO,EQ, 13-Apr-2021,6509.4,6550.0,6656.45,6504.6, 6603.00,6604.45,6583.51,551188,36287.53,59515,250875,45.52,16516
CIPLA,EQ, 13-Apr-2021,902.4,921.95,932.6,878.3, 889.00,885.2,899.74,11667200,104974.57,185356,1657842,14.21,14916
HDFCLIFE,EQ, 13-Apr-2021,687.3,689.15,710.7,685.0, 705.50,706.1,702.01,4171978,29287.82,65460,1970268,47.23,13831
ITC,EQ, 13-Apr-2021,205.3,207.0,209.7,206.0, 208.65,208.7,207.75,20247639,42064.23,133141,6523657,32.22,13552
SAIL,EQ, 13-Apr-2021,84.7,85.35,91.7,85.35, 91.50,90.7,87.95,64322836,56570.07,132236,15305294,23.79,13461
SRTRANSFIN,EQ, 13-Apr-2021,1300.9,1315.0,1398.6,1311.0, 1385.00,1382.3,1368.78,4250473,58179.79,100873,926359,21.79,12679
INDUSINDBK,EQ, 13-Apr-2021,844.4,850.0,881.0,844.5, 876.95,877.4,864.62,6778840,58611.54,147907,1426597,21.04,12334
MOTHERSUMI,EQ, 13-Apr-2021,200.7,200.7,212.7,200.7, 210.60,211.6,208.04,19359300,40275.12,143995,5836553,30.15,12142
JSWSTEEL,EQ, 13-Apr-2021,604.15,607.0,632.8,604.0, 629.00,630.35,617.66,26091257,161155.87,272622,1904545,7.3,11763
VOLTAS,EQ, 13-Apr-2021,950.3,957.5,969.9,946.0, 955.00,958.25,954.97,2632686,25141.29,59311,1231700,46.78,11762
