SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
ASIANPAINT,EQ, 28-Apr-2021,2574.35,2588.0,2620.25,2575.0, 2612.00,2614.55,2605.91,1065561,27767.52,52622,449241,42.16,11706
ATGL,EQ, 28-Apr-2021,1152.0,1169.65,1180.0,1151.8, 1154.90,1154.95,1161.76,1428960,16601.16,24845,966070,67.61,11223
HINDALCO,EQ, 28-Apr-2021,366.25,368.85,368.9,358.0, 362.45,362.6,361.61,15197329,54955.71,126873,3077711,20.25,11129
DEEPAKNTR,EQ, 28-Apr-2021,1782.55,1805.0,1850.0,1755.0, 1788.00,1780.45,1815.29,3388293,61507.45,121517,563236,16.62,10224
ADANIPORTS,EQ, 28-Apr-2021,749.15,755.0,760.0,741.1, 743.40,746.25,751.02,11156977,83791.06,130847,1342353,12.03,10081
BANDHANBNK,EQ, 28-Apr-2021,318.9,320.0,330.5,313.8, 326.40,328.5,323.2,10820190,34970.41,98993,3117696,28.81,10076
LIQUIDBEES,EQ, 28-Apr-2021,999.99,1002.29,1002.29,999.4, 999.99,999.99,999.99,1080944,10809.38,2903,1007708,93.22,10076
L&TFH,EQ, 28-Apr-2021,88.45,88.65,92.45,88.65, 91.55,91.85,90.51,21936184,19855.37,51415,10765393,49.08,9743
DRREDDY,EQ, 28-Apr-2021,5057.25,5082.55,5106.9,5030.0, 5048.00,5044.45,5065.54,843953,42750.75,69716,184756,21.89,9358
PIDILITIND,EQ, 28-Apr-2021,1833.15,1848.0,1892.0,1835.0, 1875.00,1882.85,1872.73,871430,16319.55,33745,498049,57.15,9327
NESTLEIND,EQ, 28-Apr-2021,16779.0,16775.0,16831.1,16611.0, 16616.05,16633.8,16681.89,86876,14492.56,18998,54382,62.6,9071
