SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFCBANK,EQ, 23-Apr-2021,1422.5,1409.0,1434.6,1400.2,1414.95,1414.15,1418.34,11356764,161077.82,242760,5293080,46.61,75073
ICICIBANK,EQ, 23-Apr-2021,579.2,569.9,580.5,567.05,567.5,569.95,572.81,33749097,193316.7,364665,10861229,32.18,62214
BPCL,EQ, 23-Apr-2021,418.35,417.3,424.95,416.0,423.2,423.05,422.14,23840266,100639.56,121163,13723192,57.56,57931
INFY,EQ, 23-Apr-2021,1351.1,1343.0,1348.4,1331.0,1333.9,1333.8,1339.49,7316262,98000.85,163801,4123289,56.36,55231
RELIANCE,EQ, 23-Apr-2021,1906.4,1906.0,1918.9,1895.35,1903.35,1904.35,1907.47,5459016,104128.94,171621,2589266,47.43,49389
HDFC,EQ, 23-Apr-2021,2479.7,2455.05,2504.15,2437.5,2491.0,2497.35,2479.65,3143779,77954.65,133007,1514578,48.18,37556
AXISBANK,EQ, 23-Apr-2021,658.7,656.0,677.5,650.9,664.95,671.35,669.53,19167768,128334.78,241268,4732512,24.69,31685
TATASTEEL,EQ, 23-Apr-2021,921.4,929.8,945.0,910.75,924.55,925.6,930.73,24752386,230378.63,307302,3338169,13.49,31069
ULTRACEMCO,EQ, 23-Apr-2021,6092.3,6094.0,6155.0,5995.8,6120.0,6067.9,6068.79,968454,58773.46,63239,497215,51.34,30174
HINDUNILVR,EQ, 23-Apr-2021,2349.4,2340.0,2350.0,2300.0,2309.0,2307.75,2315.91,1949756,45154.56,88011,1228975,63.03,28461
TCS,EQ, 23-Apr-2021,3118.8,3105.0,3119.0,3091.05,3110.2,3109.5,3105.86,1615309,50169.3,93127,772358,47.81,23988
SBIN,EQ, 23-Apr-2021,336.65,331.65,339.9,331.65,335.4,336.45,336.47,44223940,148798.86,272666,6584986,14.89,22156
ITC,EQ, 23-Apr-2021,205.9,204.25,207.0,204.25,205.05,205.35,206.06,19625381,40439.14,92702,10231587,52.13,21083
CADILAHC,EQ, 23-Apr-2021,552.55,554.95,577.35,540.0,576.5,570.9,560.83,27225111,152686.16,298465,3662527,13.45,20540
DRREDDY,EQ, 23-Apr-2021,5199.85,5228.0,5266.15,5030.1,5075.0,5066.7,5120.81,2354899,120589.86,153895,400720,17.02,20520
SAIL,EQ, 23-Apr-2021,94.05,95.0,96.7,90.75,93.1,93.1,94.67,72844016,68963.57,147053,19387323,26.61,18353
MARUTI,EQ, 23-Apr-2021,6650.1,6560.0,6714.7,6560.0,6684.0,6676.1,6651.34,709306,47178.36,64854,275503,38.84,18324
ICICIPRULI,EQ, 23-Apr-2021,492.75,493.5,525.8,489.25,513.0,512.4,514.32,13678921,70353.31,199398,3501358,25.6,18008
TECHM,EQ, 23-Apr-2021,967.8,966.5,970.95,945.4,950.7,950.2,956.89,3916517,37476.59,88645,1835343,46.86,17562
GRASIM,EQ, 23-Apr-2021,1300.2,1299.0,1323.15,1262.0,1285.0,1278.1,1286.39,2839747,36530.32,87583,1325496,46.68,17051
BHARTIARTL,EQ, 23-Apr-2021,530.85,529.0,532.45,519.1,522.75,522.6,525.85,6992388,36769.18,94602,3237319,46.3,17023
TATAMOTORS,EQ, 23-Apr-2021,294.55,291.0,300.0,290.5,293.2,294.0,295.04,58158986,171590.78,301111,5596892,9.62,16513
HCLTECH,EQ, 23-Apr-2021,961.9,964.0,974.85,950.2,956.5,955.65,962.69,6023490,57987.45,125365,1708688,28.37,16449
GAIL,EQ, 23-Apr-2021,133.0,131.8,134.0,128.5,129.8,129.4,130.83,23773366,31101.89,102370,12017950,50.55,15723
