SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFC,EQ, 20-Apr-2021,2492.35,2542.15,2544.0,2406.2,2409.0,2415.9,2454.68,7365765,180805.89,193822,4822407,65.47,118374
HDFCBANK,EQ, 20-Apr-2021,1412.4,1425.0,1426.4,1383.95,1390.45,1391.4,1405.29,11593135,162917.07,283993,6447436,55.61,90605
RELIANCE,EQ, 20-Apr-2021,1901.7,1910.5,1919.0,1890.45,1905.0,1901.15,1906.74,7939490,151385.42,202431,4616077,58.14,88016
INFY,EQ, 20-Apr-2021,1362.55,1379.0,1379.0,1342.4,1349.0,1351.35,1357.18,8560766,116184.6,174560,4377456,51.13,59409
TCS,EQ, 20-Apr-2021,3161.8,3225.0,3225.35,3126.35,3140.0,3144.55,3150.28,3141893,98978.43,162928,1747537,55.62,55052
ICICIBANK,EQ, 20-Apr-2021,559.75,565.2,572.65,552.6,558.4,559.1,562.91,24425842,137494.61,265471,9693374,39.68,54564
DRREDDY,EQ, 20-Apr-2021,4968.1,5100.0,5210.75,5089.5,5145.0,5156.75,5161.83,3484976,179888.37,229938,895744,25.7,46236
BAJFINANCE,EQ, 20-Apr-2021,4479.6,4563.0,4699.0,4555.2,4597.05,4613.65,4633.76,3394597,157297.5,201098,738220,21.75,34207
HCLTECH,EQ, 20-Apr-2021,994.6,1006.0,1006.0,957.0,960.9,961.3,972.08,9742418,94703.63,211611,3459107,35.51,33625
ULTRACEMCO,EQ, 20-Apr-2021,6509.75,6644.0,6688.6,6180.0,6189.0,6200.85,6349.81,1272134,80778.15,117376,515858,40.55,32756
KOTAKBANK,EQ, 20-Apr-2021,1700.75,1725.0,1733.6,1684.35,1695.0,1697.7,1713.85,3317008,56848.66,101531,1837843,55.41,31497
