SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HDFCBANK,EQ, 22-Apr-2021,1391.4,1380.0,1426.8,1371.05,1421.0,1422.5,1393.28,19242656,268103.34,320987,9670836,50.26,134741
ICICIBANK,EQ, 22-Apr-2021,559.1,552.0,580.6,546.9,578.4,579.2,570.14,34942633,199221.91,340989,12430125,35.57,70869
HDFC,EQ, 22-Apr-2021,2415.9,2400.0,2485.0,2373.0,2478.05,2479.7,2437.46,4514740,110044.97,234101,2618593,58.0,63827
RELIANCE,EQ, 22-Apr-2021,1901.15,1892.25,1914.45,1876.7,1905.1,1906.4,1898.59,6687573,126969.48,209895,3155063,47.18,59901
ULTRACEMCO,EQ, 22-Apr-2021,6200.85,6198.05,6225.0,5970.2,6095.0,6092.3,6112.7,1795988,109783.29,105555,875591,48.75,53522
TATASTEEL,EQ, 22-Apr-2021,894.0,899.95,938.65,897.05,922.5,921.4,926.15,31902815,295467.99,434593,5185765,16.25,48027
WIPRO,EQ, 22-Apr-2021,470.1,471.6,494.5,471.6,486.5,486.65,486.53,42620929,207362.85,374711,9538175,22.38,46406
AXISBANK,EQ, 22-Apr-2021,651.75,641.0,660.95,634.4,656.9,658.7,651.17,19385102,126230.27,261994,7082533,36.54,46119
INFY,EQ, 22-Apr-2021,1351.35,1355.55,1364.8,1345.15,1352.0,1351.1,1352.38,6622446,89560.8,203956,3342474,50.47,45202
TCS,EQ, 22-Apr-2021,3144.55,3148.0,3148.0,3105.25,3121.05,3118.8,3122.39,1988980,62103.8,172941,1191717,59.92,37210
SBIN,EQ, 22-Apr-2021,329.5,326.0,337.65,323.3,336.25,336.65,332.72,49105833,163383.11,279445,9812058,19.98,32646
DRREDDY,EQ, 22-Apr-2021,5156.75,5179.95,5290.0,5159.0,5199.95,5199.85,5235.76,2424134,126921.83,188943,600128,24.76,31421
KOTAKBANK,EQ, 22-Apr-2021,1697.7,1689.75,1739.75,1669.2,1734.0,1736.05,1715.73,3590444,61602.19,196598,1514228,42.17,25980
TECHM,EQ, 22-Apr-2021,983.4,973.6,985.5,960.65,966.0,967.8,970.94,5085190,49374.07,127360,2525996,49.67,24525
CIPLA,EQ, 22-Apr-2021,949.3,958.8,963.15,938.85,945.5,944.35,951.75,8522208,81110.23,153862,2502617,29.37,23818
ITC,EQ, 22-Apr-2021,203.55,202.0,206.3,200.55,205.85,205.9,204.38,23139735,47294.05,128190,11325257,48.94,23146
HINDUNILVR,EQ, 22-Apr-2021,2397.45,2390.0,2390.0,2332.0,2352.3,2349.4,2348.11,1721265,40417.19,108136,960171,55.78,22545
SRTRANSFIN,EQ, 22-Apr-2021,1345.05,1318.1,1332.0,1291.2,1327.0,1326.25,1312.44,3918786,51431.88,118589,1675238,42.75,21986
SUNPHARMA,EQ, 22-Apr-2021,645.15,650.7,658.0,638.1,638.1,639.95,649.48,11295290,73360.76,199699,3376272,29.89,21928
MARUTI,EQ, 22-Apr-2021,6646.65,6625.95,6674.9,6545.0,6648.0,6650.1,6631.11,667911,44289.93,75599,329978,49.4,21881
BAJFINANCE,EQ, 22-Apr-2021,4613.65,4550.0,4714.0,4505.75,4680.6,4688.7,4634.09,2563539,118796.83,162698,452698,17.66,20978
TATAMOTORS,EQ, 22-Apr-2021,298.05,294.0,302.5,292.2,294.5,294.55,296.94,61022978,181204.54,324395,6645492,10.89,19733
ASIANPAINT,EQ, 22-Apr-2021,2553.65,2555.65,2557.0,2488.0,2510.0,2511.25,2510.01,1690758,42438.16,82103,759976,44.95,19075
HCLTECH,EQ, 22-Apr-2021,961.3,966.0,971.9,955.3,960.8,961.9,963.72,4970596,47902.76,124163,1915843,38.54,18463
ADANIPORTS,EQ, 22-Apr-2021,720.45,689.5,744.9,689.5,736.45,737.8,727.53,26840536,195272.76,325317,2446278,9.11,17797
AUROPHARMA,EQ, 22-Apr-2021,987.3,987.95,1015.0,975.0,992.3,993.2,997.59,7282560,72650.07,166665,1777451,24.41,17731
BHARTIARTL,EQ, 22-Apr-2021,530.2,530.0,533.4,526.05,530.1,530.85,530.11,6552131,34733.8,98115,3224101,49.21,17091
JSWSTEEL,EQ, 22-Apr-2021,620.6,615.7,651.0,611.6,639.05,640.75,638.82,22859059,146028.45,228611,2670471,11.68,17059
CADILAHC,EQ, 22-Apr-2021,556.25,563.9,573.0,541.6,552.05,552.55,561.62,19216028,107920.98,228750,3033740,15.79,17038
SAIL,EQ, 22-Apr-2021,89.0,89.5,94.5,89.0,93.9,94.05,92.39,56291774,52010.46,115752,17638158,31.33,16295
