SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
INFY,EQ, 15-Apr-2021,1397.15,1332.3,1366.4,1320.0,1363.3,1360.75,1347.38,25342491,341459.36,678751,10516044,41.5,141691
HDFCBANK,EQ, 15-Apr-2021,1400.35,1405.0,1436.7,1391.0,1434.25,1430.1,1410.25,17222492,242879.67,317928,9464480,54.95,133472
ICICIBANK,EQ, 15-Apr-2021,560.6,565.95,576.75,554.15,575.75,575.2,567.41,37614884,213430.8,319800,18418969,48.97,104511
TCS,EQ, 15-Apr-2021,3104.05,3160.3,3237.25,3087.45,3227.0,3218.95,3168.14,6062760,192076.56,219212,3038656,50.12,96268
RELIANCE,EQ, 15-Apr-2021,1931.8,1926.3,1961.0,1913.0,1943.0,1944.3,1933.33,9102492,175981.49,189159,4483830,49.26,86687
HDFC,EQ, 15-Apr-2021,2512.95,2540.0,2555.0,2493.0,2543.95,2547.15,2527.23,4201633,106185.0,147895,2455847,58.45,62064
HINDUNILVR,EQ, 15-Apr-2021,2454.4,2497.0,2497.0,2421.1,2469.9,2460.65,2451.04,3352379,82168.29,104105,2318209,69.15,56820
BAJFINANCE,EQ, 15-Apr-2021,4728.75,4708.1,4750.0,4566.1,4650.0,4660.3,4647.44,2897185,134644.92,189454,998685,34.47,46413
MARUTI,EQ, 15-Apr-2021,6815.8,6846.6,6846.85,6551.0,6643.0,6644.25,6640.08,1267365,84154.1,138313,581577,45.89,38617
SBIN,EQ, 15-Apr-2021,341.0,342.1,347.55,336.1,342.55,342.7,341.7,52992349,181074.35,325566,10616930,20.03,36278
WIPRO,EQ, 15-Apr-2021,418.95,418.9,434.45,415.0,433.7,430.7,428.6,26758891,114688.3,220999,8256473,30.86,35387
HCLTECH,EQ, 15-Apr-2021,983.4,968.0,994.7,958.75,994.0,991.9,976.91,7430279,72587.37,210308,3553281,47.82,34712
AXISBANK,EQ, 15-Apr-2021,661.0,666.45,671.35,652.3,668.85,668.85,663.54,15195951,100831.31,211651,5118158,33.68,33961
TATASTEEL,EQ, 15-Apr-2021,879.0,892.0,911.5,879.5,894.0,898.2,895.21,21856357,195660.19,285071,3380477,15.47,30262
KOTAKBANK,EQ, 15-Apr-2021,1775.85,1800.0,1809.5,1752.6,1774.25,1773.25,1774.6,3546886,62942.87,131698,1699454,47.91,30158
HINDALCO,EQ, 15-Apr-2021,348.7,354.0,366.8,349.75,352.6,353.55,356.24,21825520,77750.58,209937,7264461,33.28,25878
SAIL,EQ, 15-Apr-2021,90.7,92.0,95.35,89.9,92.85,92.8,92.68,120105992,111311.04,230139,24459128,20.36,22668
TECHM,EQ, 15-Apr-2021,1001.85,1001.85,1007.8,970.3,992.0,993.15,992.52,4373215,43404.86,109988,2161676,49.43,21455
TATAMOTORS,EQ, 15-Apr-2021,302.85,303.0,307.55,296.5,302.2,303.5,301.87,75262749,227194.53,397148,7009105,9.31,21158
BAJAJFINSV,EQ, 15-Apr-2021,9806.7,9751.7,9834.0,9597.0,9760.0,9739.7,9694.01,587504,56952.72,91201,197282,33.58,19124
EICHERMOT,EQ, 15-Apr-2021,2493.85,2475.0,2489.9,2378.0,2419.0,2412.6,2402.18,1979939,47561.79,98405,783242,39.56,18814
BHARTIARTL,EQ, 15-Apr-2021,536.15,540.0,546.15,530.25,538.05,539.35,538.26,9805711,52780.34,104489,3407798,34.75,18342
DABUR,EQ, 15-Apr-2021,560.25,565.0,577.0,560.75,577.0,572.05,567.05,5336354,30259.57,92408,3224828,60.43,18286
SUNPHARMA,EQ, 15-Apr-2021,627.35,633.6,641.5,626.5,632.3,633.25,635.15,8588761,54551.92,131766,2815660,32.78,17883
LT,EQ, 15-Apr-2021,1373.7,1378.95,1391.1,1358.1,1376.0,1374.65,1369.08,2625838,35949.71,107649,1260661,48.01,17259
BPCL,EQ, 15-Apr-2021,409.4,409.0,416.4,403.3,404.1,404.85,406.2,7220179,29328.44,81822,4005454,55.48,16270
ITC,EQ, 15-Apr-2021,208.7,209.0,210.45,206.0,207.1,206.7,207.4,17530742,36359.45,126577,7808066,44.54,16193
AUROPHARMA,EQ, 15-Apr-2021,909.25,917.0,932.0,900.0,914.0,915.25,917.43,4393581,40308.17,121701,1569054,35.71,14394
GLENMARK,EQ, 15-Apr-2021,511.35,514.85,553.2,512.4,535.5,536.95,540.43,13413739,72491.35,229208,2605346,19.42,14080
ADANIPORTS,EQ, 15-Apr-2021,731.05,735.9,754.5,725.0,747.0,750.35,740.39,26108614,193306.54,335056,1749254,6.7,12951
SRTRANSFIN,EQ, 15-Apr-2021,1382.3,1375.0,1388.3,1311.0,1375.3,1380.65,1353.2,3590357,48584.77,88724,928329,25.86,12562
M&M,EQ, 15-Apr-2021,811.25,805.0,808.9,785.15,805.1,805.1,797.75,5256004,41929.53,135199,1453659,27.66,11596
DRREDDY,EQ, 15-Apr-2021,4777.3,4842.9,4875.05,4785.0,4843.0,4845.55,4837.45,1386901,67090.69,96985,237059,17.09,11467
NESTLEIND,EQ, 15-Apr-2021,17168.85,17325.0,17400.0,16775.0,16935.0,16875.65,16945.04,118314,20048.36,23173,65138,55.06,11037
BANDHANBNK,EQ, 15-Apr-2021,331.9,330.6,335.8,320.1,325.5,326.2,327.66,11119030,36432.76,110169,3331085,29.96,10914
CIPLA,EQ, 15-Apr-2021,885.2,898.8,925.4,883.9,914.0,914.2,912.14,13218002,120567.25,254586,1195634,9.05,10905
ASIANPAINT,EQ, 15-Apr-2021,2570.7,2590.0,2593.55,2537.0,2581.6,2587.7,2568.5,1209829,31074.4,67289,416760,34.45,10704
AUBANK,EQ, 15-Apr-2021,1080.8,1080.8,1104.0,1040.0,1067.15,1055.45,1072.37,2332608,25014.13,77741,996819,42.73,10689
ULTRACEMCO,EQ, 15-Apr-2021,6604.45,6649.0,6700.0,6393.65,6515.0,6539.3,6499.38,490675,31890.81,55379,162974,33.21,10592
JSWSTEEL,EQ, 15-Apr-2021,630.35,638.0,644.0,616.0,626.05,629.1,628.6,24006650,150906.72,256928,1678951,6.99,10553
ASTRAL,EQ, 15-Apr-2021,1440.85,1446.0,1545.0,1446.0,1527.0,1525.65,1521.22,1170357,17803.73,63913,656650,56.11,9989
AMBUJACEM,EQ, 15-Apr-2021,302.3,303.0,306.5,293.0,295.0,295.2,295.93,9069002,26837.99,65368,3321911,36.63,9830
BRITANNIA,EQ, 15-Apr-2021,3746.0,3751.0,3799.9,3673.0,3696.25,3692.7,3704.88,494464,18319.31,38003,263843,53.36,9775
ATGL,EQ, 15-Apr-2021,1038.9,1019.0,1129.7,993.0,1115.9,1113.55,1085.93,2900383,31496.19,108128,898622,30.98,9758
TATACONSUM,EQ, 15-Apr-2021,663.95,662.8,674.0,647.15,660.5,659.3,658.3,3193956,21025.92,55675,1447937,45.33,9531
TITAN,EQ, 15-Apr-2021,1530.6,1545.0,1554.5,1515.55,1533.0,1538.55,1531.1,1313429,20109.85,56059,616800,46.96,9443
SBICARD,EQ, 15-Apr-2021,898.0,900.5,909.8,883.35,906.65,905.55,896.03,1874017,16791.67,58025,1043978,55.71,9354
UPL,EQ, 15-Apr-2021,604.6,611.0,623.9,597.4,607.5,607.35,608.2,7395673,44980.19,101576,1530314,20.69,9307
NAUKRI,EQ, 15-Apr-2021,4556.85,4560.0,4618.8,4372.55,4602.0,4580.5,4481.13,754385,33804.97,64082,200161,26.53,8969
