SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS
HINDUNILVR,EQ, 06-Apr-2021,2373.2,2382.3,2411.0,2377.35,2408.0,2408.3,2400.42,3683538,88420.43,90844,2880067,78.19,69133
ICICIBANK,EQ, 06-Apr-2021,571.25,574.7,578.5,564.4,567.35,565.9,569.36,23284697,132574.25,283888,9362633,40.21,53307
RELIANCE,EQ, 06-Apr-2021,1992.6,2004.0,2004.95,1969.0,1986.2,1984.3,1984.99,6465241,128334.7,209903,2136383,33.04,42406
HDFC,EQ, 06-Apr-2021,2445.85,2470.3,2486.85,2435.35,2478.15,2472.3,2468.06,2882606,71144.56,128916,1619826,56.19,39978
SBIN,EQ, 06-Apr-2021,353.55,355.7,357.0,349.3,350.95,350.55,353.1,44147709,155884.99,273760,10561018,23.92,37290
INFY,EQ, 06-Apr-2021,1409.9,1423.0,1426.0,1406.45,1414.0,1411.05,1415.69,5793571,82018.99,153955,2555430,44.11,36176
HDFCBANK,EQ, 06-Apr-2021,1449.6,1460.0,1462.65,1432.65,1442.0,1440.25,1444.46,7537867,108881.67,215174,2499978,33.17,36111
ADANIPORTS,EQ, 06-Apr-2021,742.25,756.0,852.7,743.0,849.85,835.55,800.35,64555516,516668.34,747062,4484783,6.95,35893
ASIANPAINT,EQ, 06-Apr-2021,2510.65,2526.0,2620.0,2504.5,2610.1,2611.6,2585.83,3372846,87216.12,178805,1179991,34.99,30512
TATASTEEL,EQ, 06-Apr-2021,867.75,875.5,882.5,858.15,861.55,862.85,869.06,20778920,180582.23,250646,3287853,15.82,28573
TCS,EQ, 06-Apr-2021,3238.9,3275.0,3275.0,3230.0,3266.5,3264.7,3254.36,2291562,74575.71,109190,834510,36.42,27157
SAIL,EQ, 06-Apr-2021,89.65,91.9,93.4,89.15,91.5,91.05,91.55,134289233,122943.83,275975,27924511,20.79,25564
TATAMOTORS,EQ, 06-Apr-2021,305.05,306.15,313.8,304.8,308.0,307.75,309.29,63031783,194950.3,313806,7675387,12.18,23739
KOTAKBANK,EQ, 06-Apr-2021,1759.2,1776.0,1781.45,1728.7,1764.4,1768.3,1762.92,2873045,50649.53,105266,1322803,46.04,23319
BHARTIARTL,EQ, 06-Apr-2021,528.25,528.5,537.85,524.55,532.5,532.2,532.86,12873443,68596.84,133794,4322722,33.58,23034
VEDL,EQ, 06-Apr-2021,231.75,232.7,233.9,231.45,233.8,233.55,233.01,17652029,41130.69,50652,9799993,55.52,22834
AXISBANK,EQ, 06-Apr-2021,685.25,690.1,693.5,675.5,679.0,677.9,683.95,12062011,82497.62,159549,2807184,23.27,19199
HCLTECH,EQ, 06-Apr-2021,1033.5,1039.0,1040.6,1020.25,1029.0,1028.4,1028.99,4260257,43837.77,126271,1757118,41.24,18080
BAJFINANCE,EQ, 06-Apr-2021,4962.5,5050.0,5059.45,4952.6,4996.0,4993.1,5008.18,2070906,103714.61,137243,358598,17.32,17959
ADANIENT,EQ, 06-Apr-2021,1138.25,1153.4,1241.0,1142.5,1222.6,1225.4,1203.66,21496457,258744.26,357142,1483231,6.9,17853
JSWSTEEL,EQ, 06-Apr-2021,517.5,523.0,541.3,520.65,537.0,537.45,532.59,26533367,141313.98,248328,3285539,12.38,17498
ULTRACEMCO,EQ, 06-Apr-2021,6795.8,6810.3,6849.0,6707.2,6740.0,6736.65,6771.72,508328,34422.56,46869,243503,47.9,16489
ITC,EQ, 06-Apr-2021,212.55,213.8,214.95,210.15,212.8,212.65,212.66,25674227,54598.48,143881,7693023,29.96,16359
ATGL,EQ, 06-Apr-2021,1164.0,1192.9,1249.95,1180.5,1208.95,1206.15,1217.94,3458076,42117.21,148089,1232257,35.63,15008
LAURUSLABS,EQ, 06-Apr-2021,373.75,377.4,402.8,376.1,397.45,396.6,393.27,11254756,44261.07,125316,3674512,32.65,14450
