SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
TATASTEEL,EQ, 11-May-2021,1216.35,1190.0,1246.0,1176.9,1230.0,1233.9,1217.71,41108381,500580.54,569871,8893326,21.63,108294,20210511
HDFCBANK,EQ, 11-May-2021,1419.85,1396.0,1424.2,1395.05,1402.55,1403.55,1408.24,7259517,102231.21,221164,4339573,59.78,61111,20210511
HDFC,EQ, 11-May-2021,2531.35,2489.35,2502.0,2447.6,2460.0,2464.2,2468.83,3728419,92048.29,279026,2401207,64.4,59281,20210511
RELIANCE,EQ, 11-May-2021,1926.2,1915.0,1938.55,1910.0,1933.9,1933.15,1929.4,6220217,120012.89,175976,3035544,48.8,58567,20210511
INFY,EQ, 11-May-2021,1339.55,1336.9,1341.0,1325.1,1332.05,1330.65,1330.0,6420988,85399.45,201614,4122605,64.21,54830,20210511
TCS,EQ, 11-May-2021,3145.5,3125.0,3128.1,3091.15,3120.0,3122.6,3111.04,2415625,75151.03,93623,1484826,61.47,46193,20210511
AXISBANK,EQ, 11-May-2021,715.25,704.8,713.7,703.0,706.95,707.35,708.03,12736700,90179.91,176652,6071172,47.67,42985,20210511
BHEL,EQ, 11-May-2021,65.65,65.0,75.15,64.35,73.0,73.45,71.21,510138918,363269.63,740374,54295276,10.64,38663,20210511
ICICIBANK,EQ, 11-May-2021,613.25,606.4,612.9,603.25,607.95,609.85,608.18,13818480,84040.8,118843,5853893,42.36,35602,20210511
SBIN,EQ, 11-May-2021,361.7,356.85,366.4,354.75,364.1,364.65,362.8,41892770,151985.7,229841,9050630,21.6,32835,20210511
PNB,EQ, 11-May-2021,35.6,34.85,35.35,33.75,35.3,35.05,34.63,231689524,80232.01,277104,82721927,35.7,28646,20210511
KOTAKBANK,EQ, 11-May-2021,1809.35,1776.6,1794.4,1753.25,1755.65,1755.45,1765.81,2955976,52196.97,161503,1608233,54.41,28398,20210511
TATAMOTORS,EQ, 11-May-2021,314.85,309.55,320.75,308.1,314.45,315.55,316.17,58472304,184870.36,341891,8734226,14.94,27615,20210511
SAIL,EQ, 11-May-2021,146.3,141.5,143.95,138.3,140.25,140.4,141.15,117184978,165402.87,312334,17920993,15.29,25295,20210511
IOC,EQ, 11-May-2021,99.15,98.6,104.4,97.8,103.5,103.7,102.94,76907792,79165.16,245508,24288854,31.58,25002,20210511
ULTRACEMCO,EQ, 11-May-2021,6403.1,6390.0,6619.95,6310.4,6465.5,6490.6,6527.13,1139377,74368.65,85974,382465,33.57,24963,20210511
JSWSTEEL,EQ, 11-May-2021,758.65,741.0,754.8,730.55,733.0,734.25,741.4,16277517,120682.04,182726,2987688,18.35,22150,20210511
BAJFINANCE,EQ, 11-May-2021,5497.5,5411.25,5458.1,5390.0,5423.0,5424.7,5423.67,1617248,87714.13,105148,301812,18.66,16369,20210511
