SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
TATASTEEL,EQ, 14-May-2021,1179.15,1185.0,1185.0,1115.2,1130.05,1132.1,1143.25,37648032,430410.05,597919,6219902,16.52,71109,20210514
ASIANPAINT,EQ, 14-May-2021,2556.2,2620.0,2835.25,2601.55,2772.0,2774.5,2767.41,10543708,291787.77,550509,1898086,18.0,52527,20210514
CIPLA,EQ, 14-May-2021,898.6,909.0,921.0,900.8,904.0,904.05,909.84,15048471,136917.19,206647,4845400,32.2,44085,20210514
RELIANCE,EQ, 14-May-2021,1913.15,1928.05,1942.0,1906.0,1937.0,1937.3,1925.2,6134079,118093.12,227142,2202511,35.91,42402,20210514
SBIN,EQ, 14-May-2021,367.7,370.0,372.5,359.55,360.6,360.45,365.59,51722170,189093.32,358985,11019052,21.3,40284,20210514
HDFCBANK,EQ, 14-May-2021,1399.5,1394.35,1398.9,1382.35,1387.3,1386.85,1388.69,5302071,73629.47,204439,2878510,54.29,39973,20210514
TCS,EQ, 14-May-2021,3087.6,3098.5,3098.5,3040.0,3052.0,3051.5,3051.89,2043935,62378.63,126572,1281535,62.7,39111,20210514
JINDALSTEL,EQ, 14-May-2021,456.6,462.0,462.0,388.55,419.85,417.3,417.16,53810900,224480.08,423004,9001936,16.73,37552,20210514
ITC,EQ, 14-May-2021,203.25,205.0,213.2,204.0,213.05,212.25,210.46,61647120,129739.64,316512,17758207,28.81,37373,20210514
INFY,EQ, 14-May-2021,1327.0,1326.85,1326.85,1311.3,1320.0,1316.4,1316.25,4824609,63503.87,180008,2680794,55.57,35285,20210514
HINDALCO,EQ, 14-May-2021,398.8,403.0,403.65,368.15,383.05,382.8,381.87,41384078,158035.38,325627,9109355,22.01,34785,20210514
TATAMOTORS,EQ, 14-May-2021,326.0,329.35,329.5,310.0,312.6,312.25,318.19,81305325,258704.3,446741,10717834,13.18,34103,20210514
KOTAKBANK,EQ, 14-May-2021,1718.85,1728.9,1728.9,1701.1,1707.75,1706.65,1712.93,2937892,50323.95,102455,1937494,65.95,33187,20210514
HDFC,EQ, 14-May-2021,2438.7,2438.7,2443.95,2402.1,2422.7,2422.0,2420.55,2254726,54576.7,105488,1269111,56.29,30719,20210514
SAIL,EQ, 14-May-2021,132.2,133.4,134.3,123.2,126.9,127.15,128.47,147648853,189682.43,384957,22346102,15.13,28708,20210514
ICICIBANK,EQ, 14-May-2021,594.75,592.0,601.95,591.1,596.5,597.3,597.2,12675754,75699.23,165373,4707826,37.14,28115,20210514
HCLTECH,EQ, 14-May-2021,906.1,909.0,912.0,896.5,910.6,910.35,903.96,5184569,46866.27,141247,3088910,59.58,27922,20210514
AXISBANK,EQ, 14-May-2021,691.3,695.0,698.6,681.4,685.1,685.0,690.01,9377968,64708.82,127649,3184243,33.95,21971,20210514
MARUTI,EQ, 14-May-2021,6817.55,6840.0,6842.15,6700.2,6720.0,6736.4,6745.87,647029,43647.73,77290,302500,46.75,20406,20210514
BHEL,EQ, 14-May-2021,71.4,72.4,74.3,67.4,67.85,68.0,69.64,162636270,113261.29,315197,25955116,15.96,18075,20210514
M&M,EQ, 14-May-2021,759.7,763.1,763.7,736.0,742.2,741.5,744.74,4984389,37120.66,130847,2417259,48.5,18002,20210514
PNB,EQ, 14-May-2021,37.1,37.8,38.4,36.5,36.75,36.8,37.38,185587845,69381.56,193866,44270530,23.85,16548,20210514
BANKBARODA,EQ, 14-May-2021,77.4,78.3,79.55,73.35,74.0,74.0,75.92,86863950,65950.14,163683,18437975,21.23,13998,20210514
NATIONALUM,EQ, 14-May-2021,74.9,76.4,76.8,69.0,71.25,71.35,71.85,88077275,63285.06,146275,19278667,21.89,13851,20210514
LIQUIDBEES,EQ, 14-May-2021,1000.0,1000.87,1000.87,995.33,1000.01,1000.0,1000.01,1476182,14761.91,5091,1343021,90.98,13430,20210514
BAJAJFINSV,EQ, 14-May-2021,11087.95,11111.0,11163.75,10868.0,10970.0,10971.5,10975.68,313603,34420.06,37871,104008,33.17,11415,20210514
APOLLOHOSP,EQ, 14-May-2021,3196.75,3200.0,3211.75,3095.35,3131.0,3140.95,3145.99,842794,26514.24,55827,346978,41.17,10915,20210514
BAJFINANCE,EQ, 14-May-2021,5358.4,5405.0,5405.0,5267.0,5322.0,5330.35,5318.16,1525762,81142.5,106402,198146,12.99,10537,20210514
ULTRACEMCO,EQ, 14-May-2021,6388.85,6418.0,6482.0,6256.9,6365.0,6368.1,6352.29,405281,25744.64,41667,130121,32.11,8265,20210514
YESBANK,EQ, 14-May-2021,13.3,13.4,13.45,13.15,13.2,13.2,13.27,85666983,11368.83,72716,36209879,42.27,4805,20210514
MOTHERSUMI,EQ, 14-May-2021,235.9,238.75,238.9,226.85,228.1,228.45,231.85,8930101,20704.52,62438,1933987,21.66,4483,20210514
IDEA,EQ, 14-May-2021,8.8,9.0,9.1,8.55,8.65,8.65,8.75,171516548,15014.53,148132,50590547,29.5,4426,20210514
GOLDBEES,EQ, 14-May-2021,41.39,41.27,41.65,41.08,41.51,41.49,41.46,9842362,4080.99,37321,8717537,88.57,3614,20210514
IDFCFIRSTB,EQ, 14-May-2021,55.2,55.8,55.8,53.9,54.25,54.2,54.57,23847158,13014.1,51985,6584018,27.61,3592,20210514
DMART,EQ, 14-May-2021,2856.15,2874.0,2874.0,2830.0,2834.0,2844.65,2848.84,227259,6474.24,21929,120208,52.89,3424,20210514
RPOWER,EQ, 14-May-2021,6.95,7.2,7.25,6.65,6.9,6.8,6.86,108015150,7412.59,50229,48755355,45.14,3344,20210514
BATAINDIA,EQ, 14-May-2021,1348.75,1348.75,1394.35,1342.35,1386.0,1386.9,1374.84,875685,12039.24,30064,180772,20.64,2485,20210514
LALPATHLAB,EQ, 14-May-2021,2769.5,2783.35,2789.95,2709.45,2720.0,2719.45,2749.1,246373,6773.03,17148,88568,35.95,2434,20210514
JKCEMENT,EQ, 14-May-2021,2776.25,2790.9,2815.1,2750.6,2760.0,2760.05,2763.77,95213,2631.47,10732,84037,88.26,2322,20210514
PDSMFL,EQ, 14-May-2021,716.25,717.95,720.15,698.95,719.0,717.0,700.7,281854,1974.96,636,269943,95.77,1891,20210514
YAARII,EQ, 14-May-2021,91.1,92.0,94.0,89.35,89.8,90.15,91.03,2203706,2006.0,2466,2062473,93.59,1877,20210514
JPPOWER,EQ, 14-May-2021,3.95,4.1,4.1,3.8,3.9,3.9,3.98,142130225,5660.0,46722,46978726,33.05,1869,20210514
NH,EQ, 14-May-2021,411.55,413.0,449.0,410.15,435.0,433.75,436.56,1101454,4808.5,31861,307142,27.89,1340,20210514
RELAXO,EQ, 14-May-2021,898.3,899.0,936.0,899.0,925.3,925.4,924.56,402818,3724.3,18783,133566,33.16,1234,20210514
N100,EQ, 14-May-2021,964.12,969.95,970.0,957.98,962.17,962.73,960.47,130744,1255.75,4167,123607,94.54,1187,20210514
TRENT,EQ, 14-May-2021,770.1,770.0,783.0,758.3,772.8,772.6,773.92,541416,4190.15,15547,133649,24.69,1034,20210514
TVTODAY,EQ, 14-May-2021,278.5,280.9,285.3,276.2,278.0,278.1,280.25,303478,850.49,2505,268132,88.35,751,20210514
SUNCLAYLTD,EQ, 14-May-2021,3150.45,3152.0,3178.2,3057.65,3087.45,3103.05,3109.93,23654,735.62,1937,21493,90.86,668,20210514
EBBETF0430,EQ, 14-May-2021,1152.99,1153.49,1155.0,1150.95,1153.99,1153.99,1153.25,54853,632.59,191,50653,92.34,584,20210514
METROPOLIS,EQ, 14-May-2021,2368.85,2369.0,2381.15,2305.05,2336.0,2333.65,2335.14,41636,972.26,5853,17241,41.41,402,20210514
ICICITECH,EQ, 14-May-2021,259.95,263.9,263.9,257.0,258.1,257.28,257.54,60198,155.03,884,54710,90.88,140,20210514
