SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
VEDL,EQ, 05-May-2021,258.55,258.35,270.05,256.5,268.3,264.3,263.66,83074283,219037.61,157439,45312431,54.54,119470,20210505
HDFC,EQ, 05-May-2021,2377.2,2392.0,2403.0,2354.0,2384.25,2377.6,2376.82,3458463,82201.52,126211,1961228,56.71,46614,20210505
BAJFINANCE,EQ, 05-May-2021,5615.75,5683.0,5700.0,5452.4,5515.0,5515.15,5545.16,4378693,242805.58,253249,737993,16.85,40922,20210505
HDFCBANK,EQ, 05-May-2021,1388.35,1401.0,1409.6,1381.7,1405.85,1402.6,1400.18,7210806,100963.92,162134,2895687,40.16,40544,20210505
LUPIN,EQ, 05-May-2021,1057.95,1078.1,1209.0,1068.95,1203.0,1200.5,1162.89,26466899,307780.95,548467,3158374,11.93,36728,20210505
ADANIPORTS,EQ, 05-May-2021,768.75,772.0,774.8,732.7,741.0,738.1,744.59,29426971,219108.83,349595,4651779,15.81,34636,20210505
RELIANCE,EQ, 05-May-2021,1916.6,1923.35,1938.5,1908.05,1921.5,1920.1,1923.26,5719649,110003.64,190990,1762417,30.81,33895,20210505
SUNPHARMA,EQ, 05-May-2021,645.15,642.25,687.9,642.25,683.0,683.4,673.39,25296369,170343.38,314714,4787480,18.93,32238,20210505
TCS,EQ, 05-May-2021,3049.75,3070.0,3099.4,3052.4,3095.75,3095.7,3083.22,1939289,59792.56,115524,1003404,51.74,30937,20210505
INFY,EQ, 05-May-2021,1329.4,1341.1,1343.9,1327.8,1343.0,1341.5,1337.33,3939788,52687.94,113183,2118097,53.76,28325,20210505
TATASTEEL,EQ, 05-May-2021,1063.85,1084.0,1088.35,1047.0,1071.05,1070.15,1067.25,19249839,205443.64,269242,2623026,13.63,27994,20210505
ICICIBANK,EQ, 05-May-2021,591.55,595.3,604.8,584.7,604.0,602.8,596.84,17253943,102979.06,203282,4277208,24.79,25528,20210505
CIPLA,EQ, 05-May-2021,878.45,885.0,899.0,869.0,891.1,888.65,886.82,10491085,93036.62,175836,2836015,27.03,25150,20210505
CADILAHC,EQ, 05-May-2021,569.15,571.05,607.75,565.5,602.05,601.7,594.8,23454643,139509.21,249047,4139704,17.65,24622,20210505
BHARTIARTL,EQ, 05-May-2021,552.45,556.9,564.95,554.0,560.0,559.95,560.72,11872729,66573.16,173748,4054526,34.15,22734,20210505
BHEL,EQ, 05-May-2021,52.55,53.3,57.8,53.05,57.8,56.75,55.37,167171542,92570.02,255053,40463887,24.21,22404,20210505
WIPRO,EQ, 05-May-2021,481.95,484.8,496.0,483.3,491.0,490.6,490.81,11856591,58193.33,133151,4294845,36.22,21079,20210505
SAIL,EQ, 05-May-2021,128.0,132.5,134.3,126.55,130.4,130.3,130.03,104823675,136300.42,255101,13843651,13.21,18000,20210505
APOLLOHOSP,EQ, 05-May-2021,3181.25,3199.8,3357.0,3176.15,3329.0,3332.9,3292.52,1679977,55313.63,77831,482637,28.73,15890,20210505
KOTAKBANK,EQ, 05-May-2021,1732.65,1741.0,1778.0,1721.9,1775.45,1770.75,1759.05,2411643,42421.92,95109,807385,33.48,14202,20210505
SBIN,EQ, 05-May-2021,351.5,356.5,357.45,348.0,356.45,355.4,354.45,40872501,144873.5,244000,3677289,9.0,13034,20210505
AXISBANK,EQ, 05-May-2021,700.35,709.0,719.05,700.0,717.95,717.2,711.1,11155033,79323.86,146415,1777187,15.93,12637,20210505
BANKBARODA,EQ, 05-May-2021,70.4,72.1,72.95,70.85,72.4,72.35,71.98,66540783,47898.1,115976,17279041,25.97,12437,20210505
ONGC,EQ, 05-May-2021,109.65,112.4,114.0,110.5,111.3,111.1,111.92,47588366,53258.59,140307,9809484,20.61,10978,20210505
PNB,EQ, 05-May-2021,37.45,38.55,38.7,37.15,37.3,37.45,37.66,178293892,67150.97,116671,28402622,15.93,10696,20210505
M&M,EQ, 05-May-2021,741.15,743.15,749.0,737.35,748.3,747.55,743.76,3102424,23074.71,78923,1255381,40.46,9337,20210505
MARUTI,EQ, 05-May-2021,6508.25,6557.7,6599.0,6483.0,6590.0,6590.1,6551.0,499160,32699.98,52446,117735,23.59,7712,20210505
LIQUIDBEES,EQ, 05-May-2021,1000.0,1000.0,1000.01,999.99,1000.01,1000.0,1000.0,797992,7979.94,3493,757196,94.89,7571,20210505
MOTHERSUMI,EQ, 05-May-2021,216.8,218.75,221.6,211.8,220.2,219.65,218.03,13492021,29416.58,89175,3340170,24.76,7282,20210505
IDBI,EQ, 05-May-2021,36.4,36.9,39.5,36.75,38.0,37.95,38.5,76189681,29335.65,94822,17468029,22.93,6725,20210505
BAJAJFINSV,EQ, 05-May-2021,10986.45,11111.0,11194.65,10915.2,11090.0,11114.45,11022.93,307750,33923.06,36029,47060,15.29,5187,20210505
LALPATHLAB,EQ, 05-May-2021,2855.55,2870.0,2887.0,2825.0,2843.95,2836.05,2855.38,484640,13838.33,28202,176225,36.36,5031,20210505
TRENT,EQ, 05-May-2021,776.8,787.65,810.0,775.6,792.2,796.05,792.28,1229552,9741.52,29960,553343,45.0,4384,20210505
IDFCFIRSTB,EQ, 05-May-2021,55.75,56.35,56.9,55.7,56.4,56.2,56.3,29480874,16596.76,57036,6603883,22.4,3717,20210505
ULTRACEMCO,EQ, 05-May-2021,6296.45,6344.95,6400.0,6294.4,6380.0,6380.35,6344.07,215973,13701.47,25771,52347,24.24,3320,20210505
VTL,EQ, 05-May-2021,1197.55,1215.0,1275.0,1193.1,1263.0,1265.75,1207.97,279755,3379.34,5025,252180,90.14,3046,20210505
YESBANK,EQ, 05-May-2021,13.85,13.95,14.05,13.8,13.85,13.85,13.89,55591203,7724.06,57610,21517691,38.71,2988,20210505
IDEA,EQ, 05-May-2021,8.25,8.3,8.45,8.25,8.35,8.35,8.36,81857103,6840.05,83678,30154691,36.84,2520,20210505
SUNCLAYLTD,EQ, 05-May-2021,3088.25,3106.75,3147.95,3084.2,3100.0,3100.0,3101.36,57051,1769.36,7860,53146,93.16,1648,20210505
BATAINDIA,EQ, 05-May-2021,1357.3,1368.6,1368.6,1353.55,1358.0,1359.8,1360.86,323774,4406.11,10819,116654,36.03,1587,20210505
DMART,EQ, 05-May-2021,2858.4,2878.7,2889.6,2855.0,2859.95,2874.4,2869.0,136956,3929.27,18475,48693,35.55,1397,20210505
ICICITECH,EQ, 05-May-2021,255.76,261.2,261.2,256.9,258.84,258.66,258.4,515624,1332.37,625,504415,97.83,1303,20210505
NH,EQ, 05-May-2021,397.65,397.05,421.0,395.15,408.1,409.1,405.91,434279,1762.78,14760,185819,42.79,754,20210505
MAGMA,EQ, 05-May-2021,122.55,128.65,128.65,128.65,128.65,128.65,128.65,459678,591.38,1201,459678,100.0,591,20210505
SHAREINDIA,EQ, 05-May-2021,381.4,385.0,400.0,381.05,388.95,388.8,382.7,144857,554.37,1649,133540,92.19,511,20210505
METROPOLIS,EQ, 05-May-2021,2266.5,2284.4,2345.45,2271.1,2333.0,2322.55,2314.15,72502,1677.81,7258,19387,26.74,448,20210505
