SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
RELIANCE,EQ, 04-May-2021,1959.05,1950.0,1967.8,1911.0,1918.0,1916.6,1935.83,10083693,195203.3,325798,4435071,43.98,85855,20210504
HDFCBANK,EQ, 04-May-2021,1414.45,1409.95,1423.0,1383.3,1390.6,1388.35,1403.8,10743164,150812.2,263951,4454875,41.47,62537,20210504
TATASTEEL,EQ, 04-May-2021,1064.75,1074.45,1086.65,1057.55,1066.85,1063.85,1072.68,24961628,267758.68,309589,5045352,20.21,54120,20210504
BAJFINANCE,EQ, 04-May-2021,5551.15,5610.0,5749.95,5560.0,5594.7,5615.75,5670.74,4838347,274370.14,262578,912912,18.87,51768,20210504
ADANIPORTS,EQ, 04-May-2021,761.4,779.85,782.0,760.05,768.0,768.75,771.89,31400296,242374.62,311611,6240022,19.87,48166,20210504
HDFC,EQ, 04-May-2021,2418.5,2420.0,2435.0,2373.6,2377.0,2377.2,2401.21,3135834,75297.87,161798,1714470,54.67,41168,20210504
INFY,EQ, 04-May-2021,1352.05,1354.0,1354.95,1324.1,1331.0,1329.4,1339.98,4887060,65485.65,158010,2857619,58.47,38291,20210504
HCLTECH,EQ, 04-May-2021,907.7,910.0,915.0,899.25,902.95,900.95,907.88,6217026,56443.01,168209,4062318,65.34,36880,20210504
VEDL,EQ, 04-May-2021,256.45,256.0,262.4,251.0,262.05,258.55,257.76,30234483,77933.73,93368,13878525,45.9,35773,20210504
SAIL,EQ, 04-May-2021,127.75,129.7,135.7,126.15,130.55,128.0,131.33,195246744,256423.18,463309,26333762,13.49,34584,20210504
KOTAKBANK,EQ, 04-May-2021,1725.45,1751.0,1764.0,1725.3,1733.0,1732.65,1745.27,4255151,74263.87,146566,1899690,44.64,33154,20210504
TATACHEM,EQ, 04-May-2021,783.15,750.0,757.8,704.85,709.4,708.55,725.95,23262075,168869.95,384502,4468732,19.21,32440,20210504
SBILIFE,EQ, 04-May-2021,958.6,998.0,1005.0,942.55,984.0,982.9,980.77,10515809,103135.73,221039,2857263,27.17,28023,20210504
TCS,EQ, 04-May-2021,3037.0,3062.8,3090.0,3035.0,3052.9,3049.75,3061.2,1990777,60941.68,94786,912440,45.83,27931,20210504
SBIN,EQ, 04-May-2021,350.6,355.0,362.9,350.2,351.1,351.5,357.53,57749307,206470.2,342742,7751821,13.42,27715,20210504
BHARTIARTL,EQ, 04-May-2021,558.85,565.95,565.95,546.7,551.45,552.45,557.72,13934607,77716.57,156159,4821183,34.6,26888,20210504
TECHM,EQ, 04-May-2021,957.7,964.0,969.9,955.6,958.95,960.4,961.83,4064221,39091.04,58350,2571308,63.27,24731,20210504
ICICIBANK,EQ, 04-May-2021,596.75,596.65,608.0,589.0,592.0,591.55,600.27,15115127,90731.15,170816,3728401,24.67,22380,20210504
AXISBANK,EQ, 04-May-2021,702.75,704.0,718.65,698.1,700.5,700.35,710.29,11980155,85093.65,163128,3012155,25.14,21395,20210504
PNB,EQ, 04-May-2021,34.5,34.8,39.2,34.7,37.7,37.45,37.38,426069700,159248.43,282870,45330561,10.64,16944,20210504
BHEL,EQ, 04-May-2021,53.5,55.0,56.5,52.15,52.45,52.55,54.35,154123432,83759.3,225272,24473469,15.88,13301,20210504
BANKBARODA,EQ, 04-May-2021,66.65,67.2,72.95,67.05,70.9,70.4,70.71,117824041,83314.25,221770,18606759,15.79,13156,20210504
BAJAJFINSV,EQ, 04-May-2021,11041.7,11200.0,11218.85,10872.0,10993.0,10986.45,11038.97,522101,57634.57,55521,111379,21.33,12295,20210504
