SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
TATAMOTORS,EQ, 19-May-2021,332.45,313.0,322.95,312.1,314.1,314.45,316.24,119407026,377614.59,682512,20058292,16.8,63432,20210519
TATASTEEL,EQ, 19-May-2021,1180.0,1173.0,1189.55,1158.0,1161.0,1164.25,1171.83,17435026,204308.23,264120,4820419,27.65,56487,20210519
BHARTIARTL,EQ, 19-May-2021,536.35,537.9,540.55,526.2,527.95,528.2,531.4,19223054,102151.12,253054,10155117,52.83,53964,20210519
SBIN,EQ, 19-May-2021,382.25,382.0,389.5,381.2,384.4,384.4,385.63,48189573,185834.64,346200,13556510,28.13,52277,20210519
AXISBANK,EQ, 19-May-2021,711.65,704.0,723.7,702.2,714.1,716.8,713.66,20244016,144473.99,214799,7108843,35.12,50732,20210519
COFORGE,EQ, 19-May-2021,3430.2,3399.0,3457.6,3251.55,3276.95,3277.75,3299.24,3480261,114822.3,82272,1530803,43.99,50504,20210519
RELIANCE,EQ, 19-May-2021,1987.95,1980.0,2016.45,1972.0,1993.0,1997.05,1998.55,7530294,150496.78,198257,2310132,30.68,46169,20210519
ADANIENT,EQ, 19-May-2021,1326.7,1350.0,1351.55,1283.9,1291.6,1294.7,1311.78,9925284,130197.99,124978,3123752,31.47,40976,20210519
HDFCBANK,EQ, 19-May-2021,1476.7,1470.2,1478.85,1452.55,1459.1,1458.2,1463.16,5065458,74115.9,130871,2727068,53.84,39901,20210519
ICICIBANK,EQ, 19-May-2021,633.2,627.1,634.0,623.35,624.45,625.45,628.05,13911576,87371.82,140304,6148083,44.19,38613,20210519
TCS,EQ, 19-May-2021,3088.8,3084.0,3118.0,3067.1,3084.9,3082.0,3095.03,1986041,61468.48,112427,1244083,62.64,38504,20210519
