SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
INFY,EQ, 26-May-2021,1361.6,1367.9,1400.0,1362.05,1395.0,1397.25,1386.91,6850024,95003.78,174833,3555403,51.9,49310,20210526
SBIN,EQ, 26-May-2021,412.35,413.8,418.75,410.8,412.0,413.55,415.44,52357719,217512.82,339506,10006905,19.11,41572,20210526
ICICIBANK,EQ, 26-May-2021,650.3,649.35,656.65,643.3,653.85,652.5,650.39,14487031,94222.48,193649,5661168,39.08,36819,20210526
TATASTEEL,EQ, 26-May-2021,1105.2,1090.5,1094.0,1072.5,1080.05,1082.15,1082.72,15432703,167093.52,249398,3385808,21.94,36658,20210526
HDFCBANK,EQ, 26-May-2021,1478.95,1480.0,1487.0,1470.0,1477.0,1477.05,1478.66,6141995,90819.28,180525,2462775,40.1,36416,20210526
TCS,EQ, 26-May-2021,3114.0,3120.0,3165.0,3103.8,3158.0,3158.5,3143.41,1923753,60471.45,98431,937133,48.71,29457,20210526
RELIANCE,EQ, 26-May-2021,1963.15,1975.0,1979.5,1965.3,1967.0,1970.05,1972.33,3452113,68087.01,118469,1452399,42.07,28646,20210526
KOTAKBANK,EQ, 26-May-2021,1750.5,1760.05,1761.8,1736.9,1740.95,1740.65,1746.03,2845100,49676.34,85278,1557716,54.75,27198,20210526
BAJFINANCE,EQ, 26-May-2021,5618.65,5640.0,5794.8,5586.1,5768.55,5771.15,5720.16,2916746,166842.67,153495,455773,15.63,26070,20210526
AXISBANK,EQ, 26-May-2021,731.55,738.0,741.4,729.5,734.65,735.1,736.9,9081086,66918.58,110772,3332596,36.7,24557,20210526
HDFC,EQ, 26-May-2021,2530.5,2547.0,2575.0,2530.5,2574.0,2567.55,2554.28,1839397,46983.4,81682,934560,50.81,23871,20210526
HCLTECH,EQ, 26-May-2021,940.6,940.0,948.95,932.55,946.0,945.8,941.45,5017674,47239.12,122694,2496338,49.75,23501,20210526
ITC,EQ, 26-May-2021,210.9,211.8,212.45,210.3,210.9,210.6,211.33,17576137,37143.59,88996,9649911,54.9,20393,20210526
JSWSTEEL,EQ, 26-May-2021,700.8,686.3,691.0,673.55,683.85,682.2,682.18,18721303,127713.53,208899,2957937,15.8,20178,20210526
SAIL,EQ, 26-May-2021,123.95,123.0,123.0,118.1,118.55,118.75,120.07,67141657,80617.68,203444,16805579,25.03,20178,20210526
LT,EQ, 26-May-2021,1450.95,1458.9,1476.6,1452.8,1474.0,1472.9,1466.8,3230579,47386.17,95422,1358069,42.04,19920,20210526
BAJAJFINSV,EQ, 26-May-2021,11375.85,11400.0,11980.0,11385.15,11900.0,11906.4,11679.23,1015265,118575.12,76099,169345,16.68,19778,20210526
MARUTI,EQ, 26-May-2021,6911.8,6926.0,7051.0,6912.0,7024.0,7034.3,6996.06,691574,48382.91,68086,279281,40.38,19538,20210526
PNB,EQ, 26-May-2021,39.35,39.5,40.25,39.05,39.3,39.25,39.62,155307751,61531.15,116596,40434128,26.03,16020,20210526
BHEL,EQ, 26-May-2021,74.5,75.4,75.45,72.15,72.6,72.5,73.76,81757007,60300.47,136395,17335259,21.2,12786,20210526
M&M,EQ, 26-May-2021,811.25,816.0,826.0,813.0,823.15,821.2,818.02,3084558,25232.24,64801,1562024,50.64,12777,20210526
MOTHERSUMI,EQ, 26-May-2021,240.5,242.4,245.9,233.0,234.4,233.95,240.74,19950995,48030.47,120054,5167476,25.9,12440,20210526
IDFCFIRSTB,EQ, 26-May-2021,58.95,59.1,59.3,57.7,57.85,57.8,58.34,42304492,24681.74,68818,14745971,34.86,8602,20210526
