SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
HDFCBANK,EQ, 03-May-2021,1412.3,1393.0,1421.9,1377.3,1419.0,1414.45,1398.07,11236850,157099.46,341238,5720050,50.9,79970,20210503
RELIANCE,EQ, 03-May-2021,1994.5,1966.0,1979.0,1943.1,1956.0,1959.05,1958.46,10909942,213666.39,343806,3800598,34.84,74433,20210503
BAJFINANCE,EQ, 03-May-2021,5451.9,5316.3,5580.0,5291.25,5546.0,5551.15,5450.95,4033591,219868.92,217761,878746,21.79,47900,20210503
TATASTEEL,EQ, 03-May-2021,1034.0,1031.95,1069.0,1018.5,1067.1,1064.75,1047.74,26484100,277484.24,338503,4393404,16.59,46031,20210503
INFY,EQ, 03-May-2021,1354.35,1340.8,1361.0,1338.0,1349.0,1352.05,1350.88,4560337,61604.49,126788,2748838,60.28,37133,20210503
HDFC,EQ, 03-May-2021,2420.1,2365.0,2432.95,2365.0,2423.8,2418.5,2401.4,2984938,71680.43,144750,1437363,48.15,34516,20210503
HCLTECH,EQ, 03-May-2021,898.95,898.75,910.45,891.0,909.9,907.7,903.47,6871176,62078.73,192077,3707743,53.96,33498,20210503
ICICIBANK,EQ, 03-May-2021,600.5,592.55,598.85,587.5,598.3,596.75,592.4,18010557,106694.2,201108,5156764,28.63,30548,20210503
BHARTIARTL,EQ, 03-May-2021,536.75,530.0,562.5,529.05,561.05,558.85,547.44,14288088,78219.0,144212,5353429,37.47,29306,20210503
SAIL,EQ, 03-May-2021,119.5,119.2,130.6,116.45,127.1,127.75,124.97,170916244,213601.43,396305,21450961,12.55,26807,20210503
KOTAKBANK,EQ, 03-May-2021,1748.8,1735.0,1759.0,1685.0,1731.0,1725.45,1721.78,5593869,96314.12,204900,1554612,27.79,26766,20210503
AUBANK,EQ, 03-May-2021,1004.3,949.0,950.0,914.25,924.6,924.05,929.14,6959261,64661.33,170359,2676936,38.47,24872,20210503
TITAN,EQ, 03-May-2021,1491.65,1477.0,1477.0,1421.0,1423.7,1423.95,1433.79,3945733,56573.42,142010,1601475,40.59,22961,20210503
ITC,EQ, 03-May-2021,202.6,201.2,201.85,200.0,201.1,200.95,200.87,20611626,41403.5,189472,11090236,53.81,22276,20210503
INDUSINDBK,EQ, 03-May-2021,934.95,929.0,967.7,899.0,913.5,913.6,927.01,16854199,156239.41,285821,2373660,14.08,22004,20210503
SBIN,EQ, 03-May-2021,353.5,349.6,352.5,341.4,351.45,350.6,347.45,43691860,151805.52,313847,5977717,13.68,20769,20210503
TCS,EQ, 03-May-2021,3035.65,3024.9,3055.0,3004.0,3035.85,3037.0,3035.65,1545831,46926.05,109575,636257,41.16,19314,20210503
AXISBANK,EQ, 03-May-2021,714.9,706.0,708.0,692.1,703.5,702.75,700.77,13752878,96376.19,177816,2293568,16.68,16072,20210503
BHEL,EQ, 03-May-2021,48.3,47.85,55.15,47.4,54.25,53.5,51.24,133520586,68420.08,180590,28832230,21.59,14773,20210503
