SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
SBIN,EQ, 17-May-2021,360.45,364.4,385.2,363.65,384.45,383.1,376.9,106555796,401611.88,654529,26972040,25.31,101657,20210517
HDFC,EQ, 17-May-2021,2422.0,2454.0,2495.0,2435.5,2490.0,2486.45,2462.78,4452603,109657.79,181610,2836497,63.7,69856,20210517
HDFCBANK,EQ, 17-May-2021,1386.85,1395.15,1442.6,1381.3,1439.0,1440.25,1421.89,7560346,107499.47,232157,3995095,52.84,56805,20210517
TCS,EQ, 17-May-2021,3051.5,3055.0,3075.2,3036.0,3072.75,3069.75,3054.41,2890462,88286.42,98199,1759849,60.88,53753,20210517
TATASTEEL,EQ, 17-May-2021,1132.1,1138.0,1158.2,1103.5,1153.45,1150.85,1128.94,28753430,324609.25,414106,4495577,15.63,50752,20210517
LT,EQ, 17-May-2021,1415.5,1433.0,1441.0,1368.2,1388.4,1386.75,1392.51,9620003,133959.21,220008,3581430,37.23,49871,20210517
ICICIBANK,EQ, 17-May-2021,597.3,603.25,624.5,601.2,623.9,623.6,616.4,20453101,126072.73,269103,8061884,39.42,49693,20210517
KOTAKBANK,EQ, 17-May-2021,1706.65,1717.0,1755.0,1710.0,1746.5,1744.15,1738.13,4211441,73200.2,134970,2603887,61.83,45258,20210517
MARUTI,EQ, 17-May-2021,6736.4,6716.5,6838.4,6697.55,6715.0,6717.85,6764.44,995827,67362.08,85734,630130,63.28,42624,20210517
HCLTECH,EQ, 17-May-2021,910.35,914.6,927.2,910.1,922.0,922.15,921.02,7956551,73281.07,163399,4544019,57.11,41851,20210517
RELIANCE,EQ, 17-May-2021,1937.3,1937.3,1963.45,1930.4,1958.85,1960.35,1950.25,5479424,106862.68,164252,2006899,36.63,39139,20210517
INFY,EQ, 17-May-2021,1316.4,1320.3,1334.95,1320.3,1328.55,1329.4,1329.34,5017129,66694.59,118670,2842931,56.66,37792,20210517
AXISBANK,EQ, 17-May-2021,685.0,691.5,710.3,684.4,708.65,709.25,701.13,12099197,84830.92,173544,5144961,42.52,36072,20210517
BAJFINANCE,EQ, 17-May-2021,5330.35,5350.0,5490.0,5315.05,5437.95,5430.1,5418.03,2411583,130660.29,145844,610339,25.31,33068,20210517
CIPLA,EQ, 17-May-2021,904.05,895.0,905.0,870.0,883.45,881.2,881.02,14122085,124418.68,261763,3508123,24.84,30907,20210517
BHARTIARTL,EQ, 17-May-2021,560.4,563.95,563.95,545.8,547.8,549.65,551.79,13424956,74077.64,178943,5001960,37.26,27600,20210517
JINDALSTEL,EQ, 17-May-2021,417.3,421.0,440.65,412.25,438.75,435.5,425.85,21659972,92238.9,180539,6473053,29.88,27565,20210517
SAIL,EQ, 17-May-2021,127.15,128.0,131.5,123.1,131.1,130.55,127.4,81100256,103325.77,227068,13381627,16.5,17048,20210517
BANKBARODA,EQ, 17-May-2021,74.0,74.8,77.75,73.8,77.15,77.1,76.41,73000338,55777.62,129690,19794756,27.12,15125,20210517
BHEL,EQ, 17-May-2021,68.0,69.05,71.85,66.85,71.3,71.25,69.24,119433001,82697.17,221585,17630140,14.76,12207,20210517
HFCL,EQ, 17-May-2021,37.2,37.75,43.75,37.25,42.45,42.55,41.27,124650991,51448.92,190494,28800995,23.11,11886,20210517
M&M,EQ, 17-May-2021,741.5,740.0,756.0,735.4,752.2,753.55,747.27,3479938,26004.39,102728,1548417,44.5,11570,20210517
PNB,EQ, 17-May-2021,36.8,37.2,37.8,36.85,37.75,37.65,37.49,108033820,40503.39,110671,29037826,26.88,10886,20210517
FEDERALBNK,EQ, 17-May-2021,79.65,80.8,83.5,77.65,81.5,81.55,80.93,97918564,79242.13,189211,13357681,13.64,10810,20210517
MOTHERSUMI,EQ, 17-May-2021,228.45,231.0,245.2,227.0,240.3,240.2,239.34,23953975,57331.91,184432,3780820,15.78,9049,20210517
APOLLOHOSP,EQ, 17-May-2021,3140.95,3147.0,3189.95,3115.1,3158.65,3152.35,3150.08,847722,26703.96,54956,271279,32.0,8545,20210517
ULTRACEMCO,EQ, 17-May-2021,6368.1,6379.9,6554.25,6331.0,6522.0,6532.35,6476.29,357292,23139.26,43850,103828,29.06,6724,20210517
BATAINDIA,EQ, 17-May-2021,1386.9,1424.35,1442.55,1372.0,1403.0,1406.4,1409.66,2647921,37326.65,85770,467053,17.64,6583,20210517
IDFCFIRSTB,EQ, 17-May-2021,54.2,54.35,56.0,53.95,55.75,55.8,55.29,32438231,17936.66,59601,10739165,33.11,5937,20210517
DMART,EQ, 17-May-2021,2844.65,2864.0,2907.9,2840.3,2899.8,2898.7,2878.89,449529,12941.44,28814,199556,44.39,5744,20210517
YESBANK,EQ, 17-May-2021,13.2,13.25,13.4,13.25,13.4,13.35,13.33,95074257,12669.65,77513,40092858,42.17,5344,20210517
LALPATHLAB,EQ, 17-May-2021,2719.45,2690.0,2785.0,2632.05,2746.65,2751.85,2719.11,569999,15498.88,35926,155124,27.21,4217,20210517
BAJAJFINSV,EQ, 17-May-2021,10971.5,10970.0,11375.0,10942.65,11240.0,11249.35,11256.05,318021,35796.59,43217,36221,11.39,4077,20210517
ADANIGREEN,EQ, 17-May-2021,1088.05,1142.45,1142.45,1142.45,1142.45,1142.45,1142.45,268800,3070.91,5362,268263,99.8,3064,20210517
IDEA,EQ, 17-May-2021,8.65,8.7,8.75,8.5,8.5,8.55,8.58,78204978,6711.8,120829,34094795,43.6,2925,20210517
TRENT,EQ, 17-May-2021,772.6,772.65,813.95,760.6,792.0,795.15,799.27,1956412,15637.07,40498,341414,17.45,2728,20210517
JKCEMENT,EQ, 17-May-2021,2760.05,2750.0,2800.0,2745.0,2749.8,2754.15,2755.75,87706,2416.96,4097,82422,93.98,2271,20210517
