SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
INFY,EQ, 10-May-2021,1352.55,1349.85,1352.9,1335.05,1339.9,1339.55,1341.13,7195348,96498.94,160151,4685834,65.12,62843,20210510
HDFC,EQ, 10-May-2021,2496.75,2515.1,2563.7,2515.1,2529.0,2531.35,2541.34,4289915,109021.46,154774,2412843,56.24,61318,20210510
RELIANCE,EQ, 10-May-2021,1931.75,1939.0,1946.8,1920.95,1927.1,1926.2,1932.02,6433879,124303.61,197986,2996697,46.58,57896,20210510
TATASTEEL,EQ, 10-May-2021,1182.35,1210.0,1229.0,1200.0,1218.5,1216.35,1214.33,28080884,340994.94,417490,4278037,15.23,51949,20210510
HDFCBANK,EQ, 10-May-2021,1414.75,1427.0,1430.0,1412.8,1423.0,1419.85,1419.86,5530025,78518.85,156544,2986441,54.0,42403,20210510
TCS,EQ, 10-May-2021,3132.9,3145.95,3164.2,3125.0,3147.0,3145.5,3145.94,2137153,67233.56,100229,1258111,58.87,39579,20210510
SBIN,EQ, 10-May-2021,358.25,360.5,367.0,358.8,362.3,361.7,362.87,41739324,151460.84,260322,10373731,24.85,37643,20210510
SAIL,EQ, 10-May-2021,144.25,150.45,151.3,145.0,147.05,146.3,147.29,114303952,168359.1,322494,25334105,22.16,37314,20210510
TATAMOTORS,EQ, 10-May-2021,302.75,304.5,315.7,304.0,314.35,314.85,310.52,53260388,165384.28,304985,11043342,20.73,34291,20210510
BHEL,EQ, 10-May-2021,57.8,58.7,66.45,58.2,66.45,65.65,62.91,258968781,162919.37,392030,53615189,20.7,33729,20210510
ICICIBANK,EQ, 10-May-2021,607.1,611.0,617.0,611.0,614.05,613.25,614.42,12060808,74104.18,181676,5379115,44.6,33050,20210510
HINDALCO,EQ, 10-May-2021,401.1,407.8,427.5,406.7,426.0,425.75,417.55,39516234,165001.44,302157,7616317,19.27,31801,20210510
LT,EQ, 10-May-2021,1342.7,1347.0,1398.85,1347.0,1397.95,1395.0,1380.55,3929224,54244.98,111548,2054287,52.28,28360,20210510
BAJFINANCE,EQ, 10-May-2021,5493.8,5575.0,5575.0,5445.0,5497.75,5497.5,5495.43,1997339,109762.42,126114,448660,22.46,24655,20210510
NATIONALUM,EQ, 10-May-2021,76.0,79.9,82.1,77.0,81.95,81.5,79.12,99413238,78651.52,172232,31053558,31.24,24569,20210510
WIPRO,EQ, 10-May-2021,515.25,517.6,528.5,513.25,525.0,525.95,521.17,12544472,65378.19,136958,4397699,35.06,22919,20210510
COFORGE,EQ, 10-May-2021,3380.75,3374.95,3374.95,3142.7,3218.0,3222.1,3242.47,2405760,78006.1,119047,696700,28.96,22590,20210510
AXISBANK,EQ, 10-May-2021,716.75,723.5,725.0,714.0,716.5,715.25,718.72,7980462,57357.36,129558,3029124,37.96,21770,20210510
ULTRACEMCO,EQ, 10-May-2021,6481.9,6590.0,6605.0,6330.0,6399.0,6403.1,6403.05,872011,55835.27,82350,251032,28.79,16073,20210510
PNB,EQ, 10-May-2021,36.25,36.55,36.7,35.0,35.6,35.6,35.81,175653730,62903.4,154597,43812164,24.94,15689,20210510
MOTHERSUMI,EQ, 10-May-2021,220.9,222.7,236.8,220.7,236.75,234.7,229.0,21919884,50196.94,140112,6849278,31.25,15684,20210510
MARUTI,EQ, 10-May-2021,6703.05,6675.2,6773.15,6660.1,6765.0,6764.0,6738.56,541534,36491.58,59183,232526,42.94,15668,20210510
KOTAKBANK,EQ, 10-May-2021,1780.35,1809.0,1813.25,1790.6,1811.95,1809.35,1803.52,1332490,24031.78,55180,636659,47.78,11482,20210510
IDFCFIRSTB,EQ, 10-May-2021,56.75,56.0,56.6,55.2,55.55,55.35,55.77,49348021,27520.18,96176,18243364,36.97,10174,20210510
BAJAJFINSV,EQ, 10-May-2021,11318.45,11390.0,11549.0,11280.0,11310.0,11332.0,11410.87,432037,49299.19,52530,82844,19.18,9453,20210510
YESBANK,EQ, 10-May-2021,13.35,13.4,13.45,13.05,13.15,13.1,13.16,113970494,14997.77,105552,56561286,49.63,7443,20210510
M&M,EQ, 10-May-2021,767.4,772.0,783.8,768.65,780.5,780.45,778.62,2095644,16317.03,65638,809372,38.62,6301,20210510
DMART,EQ, 10-May-2021,2895.5,2925.0,2960.0,2840.0,2850.0,2852.45,2886.85,771218,22263.9,57970,214441,27.81,6190,20210510
APOLLOHOSP,EQ, 10-May-2021,3310.85,3315.0,3342.6,3261.6,3321.25,3323.7,3312.17,627199,20773.92,32775,175069,27.91,5798,20210510
CPSEETF,EQ, 10-May-2021,23.79,24.0,24.8,23.5,24.6,24.72,24.5,24683975,6046.71,18505,23350618,94.6,5720,20210510
LALPATHLAB,EQ, 10-May-2021,2860.0,2878.95,2924.0,2842.8,2886.0,2894.35,2892.34,415216,12009.45,43322,183476,44.19,5306,20210510
SOUTHBANK,EQ, 10-May-2021,9.3,9.7,10.4,9.6,10.3,10.25,10.01,148086659,14829.57,81534,44024063,29.73,4406,20210510
