SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_LACS,DATE
TATASTEEL,EQ, 07-May-2021,1100.9,1135.0,1192.0,1130.1,1183.6,1182.35,1163.52,54075433,629177.75,728233,5306410,9.81,61741,20210507
HDFC,EQ, 07-May-2021,2430.1,2454.7,2507.3,2438.4,2491.35,2496.75,2471.14,4829852,119352.42,183239,1942524,40.22,48002,20210507
RELIANCE,EQ, 07-May-2021,1931.0,1937.75,1955.65,1926.0,1926.8,1931.75,1940.01,5671163,110021.31,188670,2418447,42.64,46918,20210507
HDFCBANK,EQ, 07-May-2021,1400.9,1412.95,1424.95,1410.25,1413.4,1414.75,1418.94,6024167,85479.59,160474,2861702,47.5,40605,20210507
INFY,EQ, 07-May-2021,1361.6,1365.3,1373.05,1348.5,1352.7,1352.55,1357.23,4991435,67745.4,146974,2716830,54.43,36873,20210507
SAIL,EQ, 07-May-2021,133.65,136.1,145.85,136.1,144.4,144.25,141.17,164883787,232758.59,415130,24753467,15.01,34944,20210507
HINDALCO,EQ, 07-May-2021,385.95,390.0,404.95,385.25,400.95,401.1,396.21,46343220,183616.25,359622,7615443,16.43,30173,20210507
TCS,EQ, 07-May-2021,3111.45,3133.0,3159.85,3111.8,3131.0,3132.9,3136.92,1912540,59994.92,94194,946390,49.48,29687,20210507
VEDL,EQ, 07-May-2021,268.85,275.0,288.35,271.0,281.3,283.05,282.25,38947011,109928.71,203416,10053485,25.81,28375,20210507
SBIN,EQ, 07-May-2021,355.55,357.5,362.0,353.0,358.0,358.25,357.21,38357618,137018.12,224225,7401375,19.3,26438,20210507
TATACONSUM,EQ, 07-May-2021,653.1,636.0,642.0,614.0,629.95,629.0,625.35,14598653,91293.04,284858,4056310,27.79,25366,20210507
SRF,EQ, 07-May-2021,6863.15,6730.0,6730.0,6225.0,6277.0,6279.15,6339.46,1359690,86197.03,144582,389031,28.61,24662,20210507
WIPRO,EQ, 07-May-2021,512.3,514.0,516.55,507.5,515.0,515.25,512.83,14666581,75214.52,168063,4685910,31.95,24030,20210507
BHARTIARTL,EQ, 07-May-2021,558.75,561.2,572.9,556.9,568.1,568.5,567.84,12656867,71870.73,159909,4168641,32.94,23671,20210507
ADANIPORTS,EQ, 07-May-2021,740.8,747.7,778.0,745.25,764.95,767.75,763.24,20782117,158617.37,245154,3088070,14.86,23569,20210507
NATIONALUM,EQ, 07-May-2021,68.55,70.2,78.45,69.75,75.3,76.0,74.37,142651924,106093.2,208861,29488465,20.67,21930,20210507
HCLTECH,EQ, 07-May-2021,916.0,918.0,921.4,913.7,915.55,916.4,917.07,3651558,33487.26,78952,2114655,57.91,19392,20210507
ICICIBANK,EQ, 07-May-2021,608.2,612.0,614.8,603.7,607.35,607.1,608.56,10941083,66582.77,150622,2909812,26.6,17707,20210507
MARUTI,EQ, 07-May-2021,6666.65,6679.0,6754.55,6640.0,6694.05,6703.05,6697.04,605050,40520.44,62112,235152,38.86,15748,20210507
M&M,EQ, 07-May-2021,747.4,752.0,772.0,751.0,765.3,767.4,763.84,4833670,36921.64,117929,1727833,35.75,13197,20210507
ULTRACEMCO,EQ, 07-May-2021,6405.45,6459.95,6524.0,6414.95,6506.2,6481.9,6480.87,745582,48320.2,72280,186320,24.99,12075,20210507
BHEL,EQ, 07-May-2021,58.05,58.45,58.75,57.2,57.75,57.8,57.98,81272693,47123.81,130974,20807834,25.6,12064,20210507
AXISBANK,EQ, 07-May-2021,715.75,721.0,726.9,714.0,715.3,716.75,720.13,7131970,51359.51,100452,1586004,22.24,11421,20210507
KOTAKBANK,EQ, 07-May-2021,1788.25,1796.0,1813.0,1773.5,1779.0,1780.35,1791.51,1610730,28856.32,64483,557842,34.63,9993,20210507
BAJFINANCE,EQ, 07-May-2021,5528.8,5590.0,5613.15,5458.0,5482.0,5493.8,5524.44,1851033,102259.22,113203,179854,9.72,9935,20210507
LIQUIDBEES,EQ, 07-May-2021,999.99,1000.0,1000.01,999.99,1000.01,1000.0,1000.01,1047955,10479.62,4837,965742,92.15,9657,20210507
PNB,EQ, 07-May-2021,36.4,36.65,36.95,35.95,36.2,36.25,36.37,110980908,40367.01,92977,25985124,23.41,9450,20210507
