"SYMBOL","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","NO_OF_TRADES","DELIV_PER","DELIV_LACS","DATE"
"CREDITACC","618.45","613.15","200218","5462","87.95","1079","20210524"
"ICICITECH","262.13","262.43","402829","528","95.75","1012","20210524"
"RELAXO","1032.2","1025.15","235475","14020","31.64","763","20210524"
"GET&D","120.0","120.42","686685","3685","87.62","724","20210524"
"CPSEETF","25.24","25.21","2873875","65523","89.44","647","20210524"
"ICICIB22","38.79","38.63","1410339","4271","88.39","481","20210524"
"METROPOLIS","2339.4","2317.96","40347","5889","48.14","450","20210524"
"JKCEMENT","2927.3","2931.77","25785","6428","57.93","437","20210524"
"RUCHI","1073.2","1073.2","28376","924","100.0","304","20210524"
"AMARAJABAT","733.6","745.0","39123250","262997","45.78","133440","20210525"
"RELIANCE","1963.15","1974.34","6821015","208558","59.24","79772","20210525"
"HDFCBANK","1478.95","1483.97","9618487","263807","49.19","70215","20210525"
"SBIN","412.35","411.05","56048127","348160","26.21","60387","20210525"
"HDFC","2530.5","2547.7","2641950","120573","60.01","40392","20210525"
"ICICIBANK","650.3","647.65","14884778","206304","39.07","37659","20210525"
"INFY","1361.6","1361.92","4099340","129513","61.56","34370","20210525"
"TATASTEEL","1105.2","1111.75","18113752","266155","16.41","33046","20210525"
"AXISBANK","731.55","733.84","11344261","176770","38.46","32017","20210525"
"SAIL","123.95","125.97","91822284","223275","24.58","28429","20210525"
"BRITANNIA","3439.5","3426.24","1318946","63709","62.66","28314","20210525"
"TCS","3114.0","3111.62","1841613","122270","48.99","28075","20210525"
"HCLTECH","940.6","940.33","5032874","130222","59.03","27936","20210525"
"ITC","210.9","211.96","25334878","137177","51.59","27702","20210525"
"BHARTIARTL","526.1","527.56","9239443","130566","52.76","25717","20210525"
"CONCOR","668.1","656.23","19646926","294841","18.34","23649","20210525"
"ATGL","1294.4","1299.88","2703660","54592","61.15","21489","20210525"
"UNIONBANK","35.0","35.61","98571030","131490","54.99","19302","20210525"
"M&M","811.25","817.48","5044078","100844","45.55","18781","20210525"
"BAJFINANCE","5618.65","5622.68","1315546","71438","24.72","18286","20210525"
"PNB","39.35","39.67","163516340","157177","27.27","17686","20210525"
"KOTAKBANK","1750.5","1753.03","2201625","79090","45.64","17613","20210525"
"BHEL","74.5","73.8","87624494","132669","21.2","13708","20210525"
"MARUTI","6911.8","6915.45","438736","46895","34.93","10597","20210525"
"HFCL","48.95","48.0","64348156","100580","30.36","9377","20210525"
"APOLLOHOSP","3199.65","3202.79","622276","48131","41.38","8246","20210525"
"MOTHERSUMI","240.5","237.88","21208714","131969","16.14","8142","20210525"
"DISHTV","15.4","14.65","133998540","49565","38.4","7537","20210525"
"IDFCFIRSTB","58.95","59.01","43542130","89748","28.24","7255","20210525"
"BAJAJFINSV","11375.85","11342.68","394151","34635","12.95","5790","20210525"
"YESBANK","13.6","13.63","86120404","75158","39.52","4638","20210525"
"BATAINDIA","1531.0","1535.33","961693","50912","28.96","4275","20210525"
"BAJAJHLDNG","3560.1","3557.39","130069","5523","90.25","4175","20210525"
"DMART","3103.85","3100.74","455042","37426","29.01","4093","20210525"
"ULTRACEMCO","6556.6","6576.71","176134","22104","31.12","3604","20210525"
