"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"BHARTIARTL"," 16-Feb-2021","593.7","593.95","597.29","14787224","88322.71","137273","6291162","42.54","37576"
"HDFCBANK"," 16-Feb-2021","1616.6","1626.65","1625.28","6948679","112935.45","180673","1990683","28.65","32354"
"HINDUNILVR"," 16-Feb-2021","2215.2","2196.1","2205.05","2396356","52840.88","128657","1463631","61.08","32273"
"HDFC"," 16-Feb-2021","2860.45","2858.65","2867.92","2295100","65821.71","103353","1079585","47.04","30961"
"ADANIGREEN"," 16-Feb-2021","1062.85","1078.3","1090.59","5182242","56516.91","50496","2777440","53.6","30290"
"TATASTEEL"," 16-Feb-2021","672.15","699.2","699.14","33661838","235345.01","358185","4146585","12.32","28990"
"LT"," 16-Feb-2021","1537.65","1549.45","1557.37","3838556","59780.68","169357","1798704","46.86","28012"
"TATAMOTORS"," 16-Feb-2021","333.35","329.2","331.95","65943843","218903.04","349911","8320793","12.62","27620"
"NAUKRI"," 16-Feb-2021","5520.85","5095.2","5200.59","1802188","93724.39","159513","463827","25.74","24121"
"ONGC"," 16-Feb-2021","98.45","103.75","103.22","76236798","78689.96","280197","22206350","29.13","22921"
"INDUSINDBK"," 16-Feb-2021","1057.6","1058.25","1069.05","13883441","148420.4","278407","2132526","15.36","22797"
"MARUTI"," 16-Feb-2021","7596.65","7697.05","7717.76","1321126","101961.38","110476","287777","21.78","22209"
"POWERGRID"," 16-Feb-2021","212.45","225.55","224.89","45113050","101452.91","227360","9547299","21.16","21470"
"ADANIPORTS"," 16-Feb-2021","627.75","636.55","637.44","15120148","96381.25","241095","3202959","21.18","20416"
"NESTLEIND"," 16-Feb-2021","17479.85","17217.25","17304.64","229774","39761.55","41851","99079","43.12","17145"
"JINDALSTEL"," 16-Feb-2021","308.6","332.65","328.77","26320619","86533.56","193762","5060549","19.23","16637"
"EICHERMOT"," 16-Feb-2021","2770.05","2726.95","2735.66","1525475","41731.73","88810","571906","37.49","15645"
"BANDHANBNK"," 16-Feb-2021","339.95","350.15","344.96","13133247","45304.39","140711","4505597","34.31","15542"
"CHOLAFIN"," 16-Feb-2021","532.75","528.05","529.41","10486006","55513.61","131327","2926171","27.91","15491"
"ITC"," 16-Feb-2021","218.6","218.25","219.19","29148891","63890.77","153249","6729823","23.09","14751"
"HINDALCO"," 16-Feb-2021","291.4","302.7","302.9","27519511","83356.42","217537","4760939","17.3","14420"
"LUPIN"," 16-Feb-2021","1058.55","1096.8","1078.4","3822108","41217.44","62267","1258609","32.93","13572"
"BRITANNIA"," 16-Feb-2021","3417.0","3389.45","3399.62","693631","23580.85","44518","392502","56.59","13343"
"TITAN"," 16-Feb-2021","1484.75","1471.85","1479.88","3090249","45732.1","97872","901055","29.16","13334"
"TATACONSUM"," 16-Feb-2021","623.1","628.35","627.15","6418986","40256.92","115263","2084181","32.47","13070"
"VEDL"," 16-Feb-2021","184.05","190.25","190.09","24155607","45916.55","115823","6711643","27.79","12758"
"ATGL"," 16-Feb-2021","426.95","497.0","481.39","9004169","43345.51","134094","2553130","28.35","12290"
"ASIANPAINT"," 16-Feb-2021","2456.75","2450.25","2442.51","1615849","39467.3","89982","500974","31.0","12236"
"BAJFINANCE"," 16-Feb-2021","5779.85","5760.25","5739.31","2126810","122064.32","113930","212909","10.01","12219"
"PNB"," 16-Feb-2021","39.55","39.5","39.81","187520683","74659.71","131120","30453955","16.24","12123"
"MFSL"," 16-Feb-2021","818.8","852.75","847.41","3555872","30132.8","84499","1413260","39.74","11976"
"ADANIENT"," 16-Feb-2021","763.45","780.2","785.36","19426061","152563.76","265192","1512712","7.79","11880"
"IRCTC"," 16-Feb-2021","1713.1","1674.15","1694.0","1776370","30091.64","100691","672890","37.88","11398"
