"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"UTIAMC"," 14-May-2021","680.25","694.6","694.77","421510","2928.51","20129","301840","71.61","2097"
"KEI"," 14-May-2021","519.8","507.45","510.56","283526","1447.57","18608","202723","71.5","1035"
"ADANIGREEN"," 17-May-2021","1088.05","1142.45","1142.45","268800","3070.91","5362","268263","99.8","3064"
"EBBETF0423"," 17-May-2021","1126.41","1126.79","1126.01","51104","575.44","76","50865","99.53","572"
"AKASH"," 17-May-2021","222.45","215.8","219.96","47130","103.67","308","45946","97.49","101"
"PRECOT"," 17-May-2021","135.4","142.15","141.64","21434","30.36","109","20603","96.12","29"
"JKCEMENT"," 17-May-2021","2760.05","2754.15","2755.75","87706","2416.96","4097","82422","93.98","2271"
"KOTAKNIFTY"," 17-May-2021","153.76","155.68","155.25","126441","196.3","403","116372","92.04","180"
"SUNCLAYLTD"," 17-May-2021","3103.05","3099.75","3102.56","50865","1578.12","5901","46690","91.79","1448"
"TIPSINDLTD"," 17-May-2021","806.4","846.7","845.62","16971","143.51","363","15482","91.23","130"
"ICICITECH"," 17-May-2021","257.28","257.33","257.35","286908","738.34","1560","260757","90.89","671"
"PREMEXPLN"," 17-May-2021","152.8","150.55","150.13","66663","100.08","324","60521","90.79","90"
"MAHINDCIE"," 17-May-2021","175.25","178.5","178.61","1180929","2109.29","4511","1071573","90.74","1913"
"EBBETF0430"," 17-May-2021","1153.99","1155.45","1154.48","14074","162.48","910","12724","90.41","146"
"RSWM"," 17-May-2021","223.8","224.65","225.82","59363","134.06","591","53004","89.29","119"
"SETFNIFBK"," 17-May-2021","320.38","332.6","328.73","57796","189.99","795","51450","89.02","169"
"HDFCNIFETF"," 17-May-2021","156.08","158.05","157.41","14594","22.97","291","12848","88.04","20"
"KEC"," 17-May-2021","390.0","391.05","391.08","1148441","4491.31","6448","1007660","87.74","3940"
"KANSAINER"," 17-May-2021","556.65","556.85","555.51","370032","2055.56","7746","322584","87.18","1791"
"MAN50ETF"," 17-May-2021","150.4","152.21","152.36","51323","78.2","109","44650","87.0","68"
"KAJARIACER"," 17-May-2021","879.4","888.0","887.22","270750","2402.15","5398","235390","86.94","2088"
"AGCNET"," 17-May-2021","1368.35","1299.95","1318.42","12384","163.27","672","10750","86.81","141"
"SALONA"," 17-May-2021","102.65","109.3","107.13","13973","14.97","231","11985","85.77","12"
"CHOLAHLDNG"," 17-May-2021","565.15","576.1","570.93","456957","2608.9","10743","387788","84.86","2213"
"WESTLIFE"," 17-May-2021","427.7","443.95","441.01","823287","3630.79","9265","697887","84.77","3077"
"CGCL"," 17-May-2021","459.85","463.35","461.18","121978","562.53","1764","102835","84.31","474"
"AAVAS"," 17-May-2021","2295.45","2299.15","2308.13","64012","1477.48","6489","53468","83.53","1234"
"NAHARSPING"," 17-May-2021","120.1","126.1","125.26","101816","127.53","875","84005","82.51","105"
"HERITGFOOD"," 17-May-2021","349.3","349.45","351.43","267399","939.71","3259","220543","82.48","775"
"SOLARINDS"," 17-May-2021","1209.45","1218.0","1218.53","21688","264.27","2423","17872","82.41","217"
"VIPIND"," 17-May-2021","335.3","342.15","341.35","726634","2480.39","6678","591792","81.44","2020"
"VISHNU"," 17-May-2021","314.45","330.15","325.54","14488","47.16","497","11765","81.21","38"
"CRAFTSMAN"," 17-May-2021","1532.25","1520.1","1529.72","252416","3861.26","12626","204426","80.99","3127"
"OAL"," 17-May-2021","810.7","784.05","790.49","120345","951.31","2661","96903","80.52","766"
"ICICINF100"," 17-May-2021","160.79","162.0","161.84","13656","22.1","376","10915","79.93","17"
"PDSMFL"," 17-May-2021","717.0","755.25","752.96","89170","671.41","2663","71258","79.91","536"
"JUBLPHARMA"," 17-May-2021","820.9","832.45","828.19","479556","3971.62","7447","382089","79.68","3164"
"COROMANDEL"," 17-May-2021","769.75","772.4","768.97","420912","3236.67","13923","334560","79.48","2572"
"ICICILOVOL"," 17-May-2021","121.27","121.87","121.65","14355","17.46","1107","11381","79.28","13"
"ENIL"," 17-May-2021","150.05","149.1","149.53","42529","63.59","469","33541","78.87","50"
"WHIRLPOOL"," 17-May-2021","2095.95","2078.65","2093.73","116910","2447.78","11004","92068","78.75","1927"
"PODDARHOUS"," 17-May-2021","153.25","146.05","149.82","18472","27.68","439","14534","78.68","21"
"PAISALO"," 17-May-2021","607.7","597.15","601.45","18276","109.92","935","14366","78.61","86"
"INSECTICID"," 17-May-2021","533.2","537.7","537.63","98078","527.3","2277","76571","78.07","411"
"CENTUM"," 17-May-2021","374.65","390.8","391.89","33414","130.95","1400","26072","78.03","102"
"TIINDIA"," 17-May-2021","1170.55","1184.05","1176.11","52524","617.74","3068","40872","77.82","480"
"PUNJABCHEM"," 17-May-2021","1122.2","1164.25","1148.98","26696","306.73","1941","20671","77.43","237"
"TIIL"," 17-May-2021","402.65","413.15","409.38","21071","86.26","858","16302","77.37","66"
"VETO"," 17-May-2021","124.4","120.45","120.98","21963","26.57","667","16832","76.64","20"
"GENESYS"," 17-May-2021","100.05","102.15","103.12","26792","27.63","322","20457","76.35","21"
"LIQUIDBEES"," 17-May-2021","1000.0","1000.0","1000.0","953965","9539.64","7070","725271","76.03","7252"
"ARMANFIN"," 17-May-2021","529.35","523.75","526.83","14637","77.11","1245","11077","75.68","58"
