"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"MANXT50"," 05-May-2021","347.9","353.01","352.88","20379","71.91","55","19961","97.95","70"
"ICICITECH"," 05-May-2021","255.76","258.66","258.4","515624","1332.37","625","504415","97.83","1303"
"ICICILIQ"," 05-May-2021","999.99","999.99","1000.0","34655","346.55","54","33900","97.82","339"
"LIQUIDBEES"," 05-May-2021","1000.0","1000.0","1000.0","797992","7979.94","3493","757196","94.89","7571"
"AKASH"," 05-May-2021","186.7","180.0","181.84","30835","56.07","299","28745","93.22","52"
"SUNCLAYLTD"," 05-May-2021","3088.25","3100.0","3101.36","57051","1769.36","7860","53146","93.16","1648"
"SHAREINDIA"," 05-May-2021","381.4","388.8","382.7","144857","554.37","1649","133540","92.19","511"
"SAFARI"," 05-May-2021","611.6","602.55","609.08","24308","148.05","659","22288","91.69","135"
"EBBETF0430"," 05-May-2021","1149.98","1149.88","1149.51","17482","200.96","105","16023","91.65","184"
"VTL"," 05-May-2021","1197.55","1265.75","1207.97","279755","3379.34","5025","252180","90.14","3046"
"REPL"," 05-May-2021","206.05","201.6","201.89","12937","26.12","272","11384","88.0","22"
"INDOSTAR"," 05-May-2021","304.45","304.95","304.55","37394","113.88","1074","32526","86.98","99"
"TIMKEN"," 05-May-2021","1366.2","1379.3","1377.04","71301","981.84","2273","61765","86.63","850"
"LIQUIDETF"," 05-May-2021","999.99","999.99","1000.0","12013","120.13","77","10336","86.04","103"
"IRISDOREME"," 05-May-2021","106.15","116.65","108.98","147954","161.24","678","123880","83.73","135"
"KAJARIACER"," 05-May-2021","908.55","924.85","921.15","119045","1096.58","4457","99478","83.56","916"
"V2RETAIL"," 05-May-2021","110.3","109.85","109.97","12653","13.91","333","10551","83.39","11"
"ENDURANCE"," 05-May-2021","1309.05","1304.1","1300.31","190278","2474.2","12796","157963","83.02","2054"
"NAHARSPING"," 05-May-2021","105.35","110.6","109.47","48575","53.17","499","40069","82.49","43"
"INFOBEAN"," 05-May-2021","202.95","201.7","201.83","67578","136.39","1391","55558","82.21","112"
"MAHLIFE"," 05-May-2021","487.25","478.3","480.79","18870","90.73","1259","15354","81.37","73"
"COROMANDEL"," 05-May-2021","724.85","730.95","730.43","490471","3582.53","12165","398470","81.24","2910"
"KOTAKNIFTY"," 05-May-2021","151.85","153.01","152.82","29212","44.64","383","23728","81.23","36"
"MAN50ETF"," 05-May-2021","148.1","149.28","149.14","18812","28.06","119","15256","81.1","22"
"N100"," 05-May-2021","1011.56","996.6","1002.26","134948","1352.52","9026","108009","80.04","1082"
"AGARIND"," 05-May-2021","167.2","175.55","174.66","63381","110.7","926","50718","80.02","88"
"APLAPOLLO"," 05-May-2021","1316.5","1302.85","1307.48","215662","2819.73","10880","172495","79.98","2255"
"ICICILOVOL"," 05-May-2021","117.72","118.46","118.18","62483","73.84","669","49584","79.36","58"
"DALBHARAT"," 05-May-2021","1552.3","1538.5","1554.39","103402","1607.27","6907","80495","77.85","1251"
"JKCEMENT"," 05-May-2021","2788.55","2775.15","2775.01","15632","433.79","1299","12167","77.83","337"
"TIINDIA"," 05-May-2021","1248.1","1247.35","1246.44","45861","571.63","3901","35270","76.91","439"
"KANORICHEM"," 05-May-2021","124.55","123.85","123.69","22663","28.03","301","17421","76.87","21"
"SANDHAR"," 05-May-2021","186.2","186.8","187.13","25949","48.56","830","19891","76.65","37"
"GTPL"," 05-May-2021","131.05","136.8","134.62","151256","203.61","1951","115078","76.08","154"
"KARDA"," 05-May-2021","118.05","117.25","118.24","225804","267.0","609","170104","75.33","201"
"SOMANYCERA"," 05-May-2021","421.15","422.2","422.01","74699","315.24","2513","55946","74.9","236"
"JUBLINGREA"," 05-May-2021","408.55","418.35","417.63","1047432","4374.34","12628","775033","73.99","3236"
"GLAND"," 05-May-2021","2648.45","2609.3","2629.28","372851","9803.31","21458","275704","73.94","7249"
"GOCLCORP"," 05-May-2021","201.15","197.2","198.64","33301","66.15","607","24513","73.61","48"
"TRITURBINE"," 05-May-2021","100.45","101.5","102.62","1203803","1235.35","12039","884012","73.43","907"
