"SYMBOL","DATE1","PREV_CLOSE","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","TURNOVER_LACS","NO_OF_TRADES","DELIV_QTY","DELIV_PER","DELIV_LACS"
"MOTHERSUMI"," 12-May-2021","233.15","235.9","236.82","17191799","40712.76","139671","3298152","19.18","7810"
"IDFCFIRSTB"," 12-May-2021","56.25","55.2","55.87","32240853","18011.42","58310","9407924","29.18","5256"
"BAJAJFINSV"," 12-May-2021","11193.05","11087.95","11158.59","226953","25324.76","27636","33757","14.87","3766"
"DMART"," 12-May-2021","2850.55","2856.15","2852.49","246319","7026.23","24202","115886","47.05","3305"
"LALPATHLAB"," 12-May-2021","2833.15","2769.5","2792.72","284149","7935.49","21817","87263","30.71","2437"
"METROPOLIS"," 12-May-2021","2304.85","2368.85","2401.9","201961","4850.9","16926","81877","40.54","1966"
"BATAINDIA"," 12-May-2021","1368.45","1348.75","1357.02","592187","8036.08","24244","132870","22.44","1803"
"TRENT"," 12-May-2021","763.2","770.1","770.13","414426","3191.6","16763","141249","34.08","1087"
"NH"," 12-May-2021","407.25","411.55","411.1","167986","690.58","7346","104960","62.48","431"
"RELAXO"," 12-May-2021","892.55","898.3","897.79","68563","615.55","5391","32948","48.06","295"
"JKCEMENT"," 12-May-2021","2776.7","2776.25","2777.1","16170","449.06","4074","9543","59.02","265"
